block,BedLoc,bed,bed.row,bed.col,Genotype,pop,mf,rep,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist,Total_Fitness,logTotalFitness
L,H_3_C,H,3,C,YO7_7_15,YO7,7,15,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,12,2.4849066497880004
L,H_12_C,H,12,C,YO7_4_1,YO7,4,1,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,12,2.4849066497880004
M,J_4_A,J,4,A,YO7_3_8,YO7,3,8,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,6,1.791759469228055
M,J_5_A,J,5,A,TM2_2_11,TM2,2,11,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,3,1.0986122886681098
M,J_17_B,J,17,B,TM2_5_12,TM2,5,12,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,2,0.6931471805599453
M,J_4_D,J,4,D,TM2_7_7,TM2,7,7,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,4,1.3862943611198906
M,J_11_D,J,11,D,IH_5_2,IH,5,2,Low,454.1298385,39.09332,-120.92114,0.4276173115614113,0.4171162792166099,0.5512696044386646,0.5297011909121362,65203.39531640123,1565.8701615,3,1.0986122886681098
M,K_10_A,K,10,A,YO7_1_2,YO7,1,2,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,15,2.70805020110221
M,K_13_A,K,13,A,CC_1_2,CC,1,2,Low,313,39.58597,-121.43311,0.39954363432357376,0.3628520203062128,0.6056543656685672,0.5694875331935266,132498.41828627142,1707,9,2.1972245773362196
M,K_2_C,K,2,C,YO7_5_13,YO7,5,13,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,-449.9786650000001,6,1.791759469228055
M,K_12_D,K,12,D,TM2_6_12,TM2,6,12,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,1640.8473027,2,0.6931471805599453
