"","block","bed","row","col","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","site","year","elev_m","Lat","Grw_Ssn_GD","Wtr_Yr_GD","UCD_Y1_Prob_Fruits","WL2_Y2_Prob_Fruits","WL2_ProbFitness","WL2_Total_Fitness","log_WL2_Total_Fitness","Fruits","FrFlw","bud.duration","flower.duration","fruit.duration","total.repro.duration","initiate.repro"
"130","G","D",3,"B","IH",5,9,44,72,NA,NA,NA,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,28,NA,NA,NA,1
"131","G","D",19,"A","TM2",7,18,37,65,79,107,157,NA,"WL2",24,379.1526973,39.59255,0.565547003974015,0.406282424823454,NA,0,0,NA,NA,NA,NA,28,42,78,120,1
"132","G","D",19,"B","CC",4,9,37,58,65,NA,NA,100,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,0,0,NA,NA,NA,NA,21,NA,NA,NA,1
"133","G","D",21,"A","SC",5,9,37,NA,NA,NA,NA,65,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"134","F","D",40,"B","BH",7,8,37,44,58,65,79,107,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,6,1.79175946922805,6,6,7,21,21,42,1
"135","G","D",25,"C","CC",2,9,51,NA,NA,NA,NA,65,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"136","G","D",26,"C","SC",8,15,37,65,72,100,100,143,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,0,0,NA,NA,NA,NA,28,35,28,63,1
"137","F","D",51,"C","IH",1,8,37,58,65,100,100,150,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,28,3.3322045101752,28,28,21,42,35,63,1
"138","F","D",55,"C","SC",4,8,37,51,65,86,93,136,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,10,2.30258509299405,10,10,14,35,28,56,1
"139","H","E",21,"A","CC",5,10,37,44,58,86,NA,100,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,2,0.693147180559945,2,NA,7,42,NA,NA,1
"140","H","E",22,"A","IH",2,10,58,NA,NA,NA,NA,72,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"141","H","E",23,"B","WR",3,2,37,58,65,100,100,136,"WL2",24,1158,39.34346,0.36593495563577,0.355496383184824,NA,1,1,30,3.40119738166216,30,30,21,42,35,63,1
"142","H","E",44,"B","SC",4,10,37,58,58,100,100,NA,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,27,3.29583686600433,27,27,21,42,42,63,1
"143","I","E",46,"B","IH",3,11,44,72,79,100,107,150,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,11,2.39789527279837,11,11,28,28,28,63,1
"144","I","E",47,"A","BH",4,11,37,58,58,86,86,114,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,20,2.99573227355399,20,20,21,28,28,49,1
"145","I","E",48,"A","SC",5,11,37,72,86,100,107,143,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,4,1.38629436111989,4,4,35,28,21,70,1
"146","I","E",49,"A","YO7",4,3,30,37,58,79,86,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,7,1.94591014905531,7,7,7,42,28,56,1
"147","I","E",49,"B","TM2",6,4,37,65,65,100,100,143,"WL2",24,379.1526973,39.59255,0.565547003974015,0.406282424823454,NA,1,1,2,0.693147180559945,2,2,28,35,35,63,1
"148","H","E",20,"D","BH",2,10,37,44,58,86,86,114,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,32,3.46573590279973,32,32,7,42,28,49,1
"149","H","E",23,"D","IH",5,10,37,58,NA,NA,NA,79,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,21,NA,NA,NA,1
"150","H","E",27,"C","BH",4,10,37,58,65,100,107,143,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,0,0,NA,NA,NA,NA,21,42,42,70,1
"151","H","E",29,"D","IH",4,10,37,65,72,100,107,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,28,35,35,70,1
"152","H","E",43,"D","IH",1,10,37,65,72,86,86,107,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,28,21,14,49,1
"153","I","E",50,"D","IH",5,11,37,58,65,79,79,100,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,4,1.38629436111989,4,4,21,21,14,42,1
"154","J","F",7,"B","IH",1,12,37,58,NA,NA,NA,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,21,NA,NA,NA,1
"155","I","F",26,"A","WL2",8,4,NA,37,44,65,NA,100,"WL2",24,2020.115818,38.8263,0.238347962651242,0.225608628365882,NA,1,1,5,1.6094379124341,5,5,NA,28,NA,NA,1
"156","I","F",42,"B","CC",3,11,30,58,65,86,86,143,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,6,1.79175946922805,6,6,28,28,21,56,1
"157","I","F",43,"B","CC",8,11,37,65,NA,100,NA,121,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,0,0,NA,NA,NA,NA,28,35,NA,NA,1
"158","I","F",23,"C","SC",2,23,44,65,72,NA,100,121,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,1,1,8,2.07944154167984,8,8,21,NA,28,56,1
"159","I","F",43,"C","CC",9,11,30,44,86,86,93,121,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,1,0,1,1,14,42,7,63,1
"160","J","G",8,"A","YO7",6,15,30,37,44,86,86,143,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,15,2.70805020110221,15,15,7,49,42,56,1
"161","K","G",31,"A","BH",7,13,37,58,65,NA,NA,79,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,0,0,NA,NA,NA,NA,21,NA,NA,NA,1
"162","K","G",37,"A","YO7",7,9,30,37,44,58,93,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,0,0,NA,NA,NA,NA,7,21,49,63,1
"163","K","G",43,"A","IH",6,13,37,65,72,100,100,121,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,1,0,1,1,28,35,28,63,1
"164","J","G",5,"D","YO7",5,7,30,51,58,65,72,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,5,1.6094379124341,5,5,21,14,14,42,1
"165","J","G",6,"D","IH",2,12,37,58,65,100,107,157,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,7,1.94591014905531,7,7,21,42,42,70,1
"166","J","G",7,"D","BH",4,12,37,58,58,86,86,107,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,1,1,18,2.89037175789616,18,18,21,28,28,49,1
"167","K","G",27,"C","YO7",6,9,30,37,44,86,86,114,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,8,2.07944154167984,8,8,7,49,42,56,1
"168","K","G",32,"D","WL2",7,6,30,44,51,58,100,143,"WL2",24,2020.115818,38.8263,0.238347962651242,0.225608628365882,NA,1,1,3,1.09861228866811,3,4,14,14,49,70,1
"169","K","G",40,"C","BH",2,13,30,44,58,79,86,121,"WL2",24,511.4294422,37.40985,0.360454942829318,0.566000788895923,NA,0,0,NA,NA,NA,NA,14,35,28,56,1
"170","L","H",11,"B","IH",2,1,65,NA,NA,NA,NA,NA,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"171","K","H",31,"A","YO7",4,11,30,30,44,58,93,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,7,1.94591014905531,7,8,0,28,49,63,1
"172","L","H",3,"C","YO7",7,15,30,37,44,58,65,NA,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,12,2.484906649788,12,13,7,21,21,35,1
"173","L","H",12,"C","YO7",4,1,30,30,44,86,86,107,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,12,2.484906649788,12,12,0,56,42,56,1
"174","K","H",24,"D","SC",6,13,37,51,79,100,100,136,"WL2",24,421.5178299,38.41167,0.449311932209762,0.497069818527665,NA,0,0,NA,NA,NA,NA,14,49,21,63,1
"175","M","J",4,"A","YO7",3,8,30,51,51,58,72,128,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,6,1.79175946922805,6,6,21,7,21,42,1
"176","M","J",11,"D","IH",5,2,51,65,72,100,NA,136,"WL2",24,454.1298385,39.09332,0.453128039799304,0.422261684130245,NA,1,1,3,1.09861228866811,3,3,14,35,NA,NA,1
"177","M","K",10,"A","YO7",1,2,30,37,44,58,72,100,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,15,2.70805020110221,15,15,7,21,28,42,1
"178","M","K",13,"A","CC",1,2,30,51,58,100,107,157,"WL2",24,313,39.58597,0.434901728207555,0.445008521157788,NA,1,1,9,2.19722457733622,9,9,21,49,49,77,1
"179","M","K",2,"C","YO7",5,13,30,37,51,65,72,100,"WL2",24,2469.978665,37.80903,0.353485383279989,0.327814254355139,NA,1,1,6,1.79175946922805,6,6,7,28,21,42,1
