"","bed","row","col","Unique.ID","bud.date","flower.date","fruit.date","last.FL.date","last.FR.date","death.date","round2.rep.dates","survey.notes","...13","pop","mf","dame_mf","sire_mf","rep","cross_type","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","bud.duration","flower.duration","fruit.duration","total.repro.duration","initiate.repro"
"808","G",9,"A","2299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x WV) x (CC x WL2)","1_1","1","1",4,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"809","G",9,"B","1845",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WL2","3","3",NA,22,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"810","G",10,"A","2588",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(DPR x TM2) x (TM2 x WL2)","3_2","3","2",3,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"811","G",10,"B","2248",NA,NA,NA,NA,NA,2025-08-07,NA,NA,NA,"(WL2 x TM2) x (TM2)","2_1-3","2","1-3",10,"BC1",NA,NA,NA,NA,NA,84,NA,NA,NA,NA,0
"812","G",11,"A","2232",NA,NA,NA,NA,NA,NA,NA,"dead pre-planting",NA,"(WL2 x TM2) x (CC x TM2)","2-3_2-3","2-3","2-3",2,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"813","G",11,"B","2372",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WV x WL2) x (WV)","20_7-3","20","7-3",5,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"814","G",12,"A","2263",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x TM2) x (TM2)","2_1-3","2","1-3",25,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"815","G",12,"B","2436",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(CC x WL2) x (WL2)","2_13-B","2","13-B",1,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"816","G",13,"A","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WL2 x LV1","8-1_14-1","8-1","14-1",3,"F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"817","G",13,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"818","G",14,"A","2547",NA,NA,NA,NA,NA,2025-08-28,NA,NA,NA,"(WL2 x WV) x (CC x WL2)","1_1","1","1",3,"F2",NA,NA,NA,NA,NA,105,NA,NA,NA,NA,0
"819","G",14,"B","2250",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x TM2) x (TM2)","2_1-3","2","1-3",12,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"820","G",15,"A","2280",NA,NA,NA,NA,NA,2025-06-17,NA,NA,NA,"(WL2 x TM2) x (TM2)","2_1-3","2","1-3",42,"BC1",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,0
"821","G",15,"B","1814",NA,NA,NA,NA,NA,NA,NA,"6/27: internal damage / black dots",NA,"WL1","18","18",NA,12,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"822","G",16,"A","1797",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2",NA,NA,NA,93,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"823","G",16,"B","2435",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WL2 x YO11","8-1_11-1","8-1","11-1",4,"F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"824","G",17,"A","2572",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WV x WL2) x (WL2 x CC)","3_1","3","1",15,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"825","G",17,"B","1925",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WV","18","18",NA,4,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"826","G",18,"A","2264",NA,NA,NA,NA,NA,2025-08-07,NA,"8/01: wilting",NA,"(WL2 x TM2) x (TM2)","2_1-3","2","1-3",26,"BC1",NA,NA,NA,NA,NA,84,NA,NA,NA,NA,0
"827","G",18,"B","2508",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x BH) x (WL2 x CC)","1_2","1","2",1,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"828","G",19,"A","2441",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(LV1 x WL2) x (WL2)","6_16-A","6","16-A",2,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"829","G",19,"B","2215",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x BH) x (WL2 x TM2)","2_3","2","3",2,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"830","G",20,"A","2599",NA,NA,NA,NA,NA,2025-06-17,NA,"6/9: wilted",NA,"(TM2 x WL2) x (TM2)","3_1-3","3","1-3",6,"BC1",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,0
"831","G",20,"B","2589",NA,NA,NA,NA,NA,2025-07-10,NA,"7/3: dying",NA,"(DPR x TM2) x (TM2 x WL2)","3_2","3","2",4,"F2",NA,NA,NA,NA,NA,56,NA,NA,NA,NA,0
"832","G",21,"A","1846",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WL2","3","3",NA,23,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"833","G",21,"B","2184",2025-07-18,2025-08-07,2025-08-07,NA,NA,NA,NA,NA,NA,"(TM2) x (TM2 x WL2)",NA,NA,NA,16,"BC1",64,84,84,NA,NA,NA,20,NA,NA,NA,1
"834","G",22,"A","2084",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(DPR x TM2) x (TM2 x WL2)","3_2","3","2",7,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"835","G",22,"B","2424",NA,NA,NA,NA,NA,2025-06-27,NA,NA,NA,"WL1 x WL2","2-2_10-1","2-2","10-1",6,"F1",NA,NA,NA,NA,NA,43,NA,NA,NA,NA,0
"836","G",23,"A","1776",2025-06-27,2025-07-18,2025-07-25,2025-09-04,2025-09-04,NA,NA,NA,NA,"TM2","11","11",NA,72,"Parent",43,64,71,112,112,NA,21,48,41,69,1
"837","G",23,"B","2198",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x BH) x (WL2 x CC)","1_2","1","2",7,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"838","G",24,"A","1694",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SQ3","12","12",NA,11,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"839","G",24,"B","2536",NA,NA,NA,NA,NA,NA,NA,"6/27: white spots",NA,"(WL2 x BH) x (WL2 x CC)","2_3","2","3",22,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"840","G",25,"A","2355",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WV x WL2) x (WL2 x CC)","3_1","3","1",3,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"841","G",25,"B","2456",NA,NA,NA,NA,NA,2025-06-27,NA,NA,NA,"(WL2 x TM2) x (WL2 x BH)","1_2","1","2",2,"F2",NA,NA,NA,NA,NA,43,NA,NA,NA,NA,0
"842","G",26,"A","2561",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WV x WL2) x (WL2 x BH)","2_2","2","2",3,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"843","G",26,"B","2496",NA,NA,NA,NA,NA,2025-07-10,NA,NA,NA,"(LV1 x WL2) x (YO11 x WL2)","8_25","8","25",1,"F2",NA,NA,NA,NA,NA,56,NA,NA,NA,NA,0
"844","G",27,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"845","G",27,"B","2612",NA,NA,NA,NA,NA,2025-06-27,NA,"6/17: roots exposed/reburied",NA,"(WV x TM2) x (TM2 x WL2)","2_1","2","1",7,"F2",NA,NA,NA,NA,NA,43,NA,NA,NA,NA,0
"846","G",28,"A","2144",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(TM2 x WL2) x (TM2)","3_2-13","3","2-13",16,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"847","G",28,"B","2565",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WV x WL2) x (WL2 x BH)","2_2","2","2",6,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"848","G",29,"A","2251",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x TM2) x (TM2)","2_1-3","2","1-3",13,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"849","G",29,"B","2216",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x BH) x (WL2 x TM2)","2_3","2","3",3,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"850","G",30,"A","195",2025-06-17,2025-07-10,2025-07-18,2025-07-18,2025-07-25,2025-08-28,NA,NA,NA,"WV x TM2",NA,NA,NA,2,"F1",33,56,64,64,71,105,23,8,7,38,1
"851","G",30,"B","2157",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(TM2 x WL2) x (TM2)","3_2-13","3","2-13",29,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"852","G",31,"A","2469",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WV x WL2) x (WL2 x CC)","3_1","3","1",9,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"853","G",31,"B","2615",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BH","3","3",NA,2,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"854","G",32,"A","2287",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x TM2) x (TM2)","2_1-3","2","1-3",49,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"855","G",32,"B","2199",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x BH) x (WL2 x CC)","1_2","1","2",8,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"856","G",33,"A","2465",2025-07-18,2025-08-07,2025-08-14,NA,NA,NA,NA,"8/7 Budding collection",NA,"(WV x WL2) x (WL2 x CC)","3_1","3","1",7,"F2",64,84,91,NA,NA,NA,20,NA,NA,NA,1
"857","G",33,"B","2500",NA,NA,NA,NA,NA,NA,NA,"previously recorded as budding on 7/18. Not Budding",NA,"(SQ3 x WL2) x (WL2)","12_16-A","12","16-A",12,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"858","G",34,"A","1847",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WL2","3","3",NA,24,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"859","G",34,"B","2114",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(SQ3 x WL2) x (WL2)","12_16-A","12","16-A",23,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"860","G",35,"A","2535",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x BH) x (WL2 x CC)","2_3","2","3",21,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"861","G",35,"B","2188",NA,NA,NA,NA,NA,2025-07-10,NA,"7/3: dying",NA,"(WL2 x BH) x (CC x WL2)","2_2","2","2",1,"F2",NA,NA,NA,NA,NA,56,NA,NA,NA,NA,0
"862","G",36,"A","2548",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x WV) x (CC x WL2)","1_1","1","1",4,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"863","G",36,"B","1732",2025-06-27,2025-07-18,2025-08-07,2025-09-04,2025-09-04,NA,NA,NA,NA,"TM2","4","4",NA,28,"Parent",43,64,84,112,112,NA,21,48,28,69,1
"864","G",37,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"865","G",37,"B","2527",NA,NA,NA,NA,NA,2025-09-24,NA,NA,NA,"(WL2 x BH) x (WL2 x CC)","1_2","1","2",14,"F2",NA,NA,NA,NA,NA,132,NA,NA,NA,NA,0
"866","G",38,"A","1697",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SQ3","12","12",NA,14,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"867","G",38,"B","1330",2025-06-09,2025-06-17,2025-07-10,2025-08-07,2025-08-21,2025-09-29,NA,"6/27: bud damage I 7/18: dry FLs *",NA,"(WV x WL2) x (WL2 x DPR)",NA,NA,NA,6,"F2",25,33,56,84,98,137,8,51,42,73,1
"868","G",39,"A","2618",NA,NA,NA,NA,NA,2025-06-17,NA,NA,NA,"DPR","11","11",NA,3,"Parent",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,0
"869","G",39,"B","2094",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(SQ3 x WL2) x (WL2)","3_13-B","3","13-B",3,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"870","G",40,"A","2171",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(TM2) x (TM2 x WL2)","2-1_2","2-1","2",3,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"871","G",40,"B","2270",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x TM2) x (TM2)","2_1-3","2","1-3",32,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"872","G",41,"A","2229",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x CC) x (WL2 x BH)","1_1","1","1",3,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"873","G",41,"B","706",2025-06-09,2025-06-27,2025-07-10,2025-07-25,2025-08-07,2025-09-04,NA,"7/18: dry FLs",NA,"(DPR x WL2) x (YO11 x WL2)",NA,NA,NA,12,"F2",25,43,56,71,84,112,18,28,28,59,1
"874","G",42,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"875","G",42,"B","1464",2025-06-03,2025-06-17,2025-07-03,2025-08-07,2025-08-07,2025-09-18,NA,"6/27: bud damage 1 7/18: dry FLs",NA,"(DPR x WL2) x (WV x WL2)",NA,NA,NA,8,"F2",19,33,49,84,84,126,14,51,35,65,1
"876","G",43,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"877","G",44,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"878","G",44,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"879","G",45,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"880","G",45,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"881","G",1,"C","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"882","G",1,"D","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"883","G",2,"C","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"884","G",2,"D","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"885","G",3,"C","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"886","G",3,"D","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"887","G",4,"C","2632",NA,NA,NA,NA,NA,2025-08-07,NA,NA,NA,"TM2","6","6",NA,47,"Parent",NA,NA,NA,NA,NA,84,NA,NA,NA,NA,0
"888","G",4,"D","1100",2025-06-09,2025-06-17,2025-07-03,2025-08-14,2025-09-24,2025-09-29,NA,"8/28 still has buds but some fruit dropping | 9/18 still has buds",NA,"(WL2 x DPR) x (WL2)",NA,NA,NA,3,"BC1",25,33,49,91,132,137,8,58,83,107,1
"889","G",5,"C","2083",2025-09-29,NA,NA,NA,NA,NA,NA,NA,NA,"(DPR x TM2) x (TM2 x WL2)","3_2","3","2",6,"F2",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"890","G",5,"D","YO7_5_7",2025-06-27,2025-07-03,2025-07-18,2025-07-25,2025-07-25,NA,NA,"6/3: resprouting I 7/3: perennial",NA,"YO7","5",NA,NA,7,"Parent",43,49,64,71,71,NA,6,22,7,28,1
"891","G",6,"C","2537",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x BH) x (WL2 x CC)","2_3","2","3",22,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"892","G",6,"D","2560",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WV x WL2) x (WL2 x BH)","2_2","2","2",1,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"893","G",7,"C","2306",NA,NA,NA,NA,NA,2025-08-01,NA,"7/25: wilting",NA,"(WL2) x (DPR x WL2)","3",NA,"3",1,"BC1",NA,NA,NA,NA,NA,78,NA,NA,NA,NA,0
"894","G",7,"D","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WL2 x LV1","2-A_14-A","2-A","14-A",6,"F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"895","G",8,"C","2598",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(TM2 x WL2) x (TM2)","3_1-3","3","1-3",1,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"896","G",8,"D","530",2025-06-17,2025-07-10,2025-08-07,2025-08-07,2025-08-07,2025-08-14,NA,NA,NA,"TM2",NA,NA,NA,60,"Parent",33,56,84,84,84,91,23,28,0,51,1
"897","G",9,"C","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WL1 x WL2","2-3_2-2","2-3","2-2",3,"F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"898","G",9,"D","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"899","G",10,"C","2197",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x BH) x (WL2 x CC)","1_2","1","2",6,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"900","G",10,"D","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"901","G",11,"C","2495",NA,NA,NA,NA,NA,NA,NA,"8/21 wilted",NA,"(LV1 x WL2) x (YO11 x WL2)","8_25","8","25",1,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"902","G",11,"D","2089",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(LV1 x WL2) x (WL2)","6_16-A","6","16-A",3,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
