block,loc,bed,row,col,pop,mf,rep,unique.ID
NA,D_26_C,D,26,C,SC,8,15,SC_8_15
E,D_26_D,D,26,D,(WL2) x (TM2 x WL2),NA,1,911
E,D_27_C,D,27,C,TM2,NA,92,562
E,D_27_D,D,27,D,(WL1 x WL2) x (WL2 x CC),NA,1,1114
E,D_28_C,D,28,C,(DPR) x (WL2 x DPR),NA,14,740
E,D_28_D,D,28,D,TM2,NA,13,483
E,D_29_C,D,29,C,NA,NA,NA,NA
E,D_29_D,D,29,D,NA,NA,NA,NA
E,D_30_C,D,30,C,(DPR x WL2) x (WV x WL2),NA,13,1469
E,D_30_D,D,30,D,NA,NA,NA,NA
F,D_31_C,D,31,C,NA,NA,NA,NA
F,D_31_D,D,31,D,NA,NA,NA,NA
F,D_32_C,D,32,C,(WL2) x (WV x WL2),NA,9,767
F,D_32_D,D,32,D,(WV) x (WV x WL2),NA,16,1402
F,D_33_C,D,33,C,WL2,NA,55,150
F,D_33_D,D,33,D,WL2,NA,34,129
F,D_34_C,D,34,C,(SQ3 x WL2) x (TM2 x WL2),NA,1,879
F,D_34_D,D,34,D,BH x TM2,NA,17,601
F,D_35_C,D,35,C,WL2,NA,32,127
F,D_35_D,D,35,D,(TM2) x (TM2 x WL2),NA,9,228
F,D_36_C,D,36,C,WV x TM2,NA,12,204
F,D_36_D,D,36,D,SQ3 x WL2,NA,4,640
F,D_37_C,D,37,C,(WL2 x CC) x (WL2 x TM2),NA,12,1189
F,D_37_D,D,37,D,(TM2 x WL2) x (SQ3 x WL2),NA,8,312
F,D_38_C,D,38,C,LV1 x WL2,NA,19,1269
F,D_38_D,D,38,D,(TM2 x BH) x (TM2 x BH),NA,5,1339
F,D_39_C,D,39,C,BH,NA,11,397
F,D_39_D,D,39,D,(WL2 x TM2) x (CC x TM2),NA,2,253
NA,D_40_C,D,40,C,IH,5,8,IH_5_8
F,D_40_D,D,40,D,(CC x TM2) x (WL2 x TM2),NA,2,1430
F,D_41_C,D,41,C,(WL2 x BH) x (SQ3 x WL2),NA,4,1165
F,D_41_D,D,41,D,WV x WL2,NA,2,1404
F,D_42_C,D,42,C,WL2,NA,66,161
F,D_42_D,D,42,D,(YO11 x WL2) x (WL2 x TM2),NA,8,795
F,D_43_C,D,43,C,TM2,NA,21,491
F,D_43_D,D,43,D,(LV1 x WL2) x (WL2),NA,13,76
F,D_44_C,D,44,C,(TM2 x WL2) x (WL2),NA,7,363
F,D_44_D,D,44,D,WL1,NA,14,297
G,D_45_C,D,45,C,(TM2 x WL2) x (YO11 x WL2),NA,13,385
G,D_45_D,D,45,D,LV1 x TM2,NA,9,1233
G,D_46_C,D,46,C,TM2,NA,72,542
G,D_46_D,D,46,D,(WL2) x (TM2 x WL2),NA,7,917
G,D_47_C,D,47,C,WL2,NA,9,104
G,D_47_D,D,47,D,(TM2 x BH) x (BH),NA,16,758
G,D_48_C,D,48,C,DPR x WL2,NA,2,1211
G,D_48_D,D,48,D,WL2,NA,38,133
G,D_49_C,D,49,C,WV x TM2,NA,19,212
G,D_49_D,D,49,D,(WL2 x CC) x (SQ3 x WL2),NA,9,1313
G,D_50_C,D,50,C,(LV1 x WL2) x (YO11 x WL2),NA,7,992
G,D_50_D,D,50,D,(WL1 x WL2) x (WL2 x TM2),NA,9,1154
NA,D_51_C,D,51,C,IH,1,8,IH_1_8
G,D_51_D,D,51,D,WL2,NA,80,175
G,D_52_C,D,52,C,LV1 x WL2,NA,21,1271
G,D_52_D,D,52,D,(SQ3 x WL2) x (WL2),NA,14,93
G,D_53_C,D,53,C,(TM2 x WL2) x (SQ3 x WL2),NA,6,310
G,D_53_D,D,53,D,(DPR) x (WL2 x DPR),NA,16,742
G,D_54_C,D,54,C,(WL2 x CC) x (WL2 x TM2),NA,14,1191
G,D_54_D,D,54,D,(WL2) x (WV x WL2),NA,4,762
NA,D_55_C,D,55,C,SC,4,8,SC_4_8
G,D_55_D,D,55,D,(YO11 x WL2) x (WL2),NA,10,936
G,D_56_C,D,56,C,TM2,NA,41,511
G,D_56_D,D,56,D,BH x TM2,NA,24,608
G,D_57_C,D,57,C,NA,NA,NA,NA
G,D_57_D,D,57,D,NA,NA,NA,NA
G,D_58_C,D,58,C,NA,NA,NA,buffer
G,D_58_D,D,58,D,NA,NA,NA,buffer
G,D_59_C,D,59,C,NA,NA,NA,buffer
G,D_59_D,D,59,D,NA,NA,NA,buffer
H,E_1_A,E,1,A,NA,NA,NA,buffer
H,E_1_B,E,1,B,NA,NA,NA,buffer
H,E_2_A,E,2,A,NA,NA,NA,buffer
H,E_2_B,E,2,B,NA,NA,NA,buffer
H,E_3_A,E,3,A,NA,NA,NA,buffer
H,E_3_B,E,3,B,NA,NA,NA,buffer
H,E_4_A,E,4,A,NA,NA,NA,NA
H,E_4_B,E,4,B,NA,NA,NA,NA
H,E_5_A,E,5,A,(LV1 x WL2) x (WL2 x DPR),NA,3,958
H,E_5_B,E,5,B,WV x TM2,NA,25,218
H,E_6_B,E,6,B,TM2,NA,28,498
H,E_7_A,E,7,A,(DPR x WL2) x (YO11 x WL2),NA,6,700
H,E_7_B,E,7,B,(TM2 x WL2) x (LV1 x WL2),NA,4,1496
H,E_8_A,E,8,A,(SQ3 x WL2) x (TM2 x WL2),NA,5,883
NA,E_8_B,E,8,B,TM2,6,2,TM2_6_2
H,E_9_A,E,9,A,(YO11 x WL2) x (WL2),NA,2,928
H,E_10_A,E,10,A,BH,NA,13,399
H,E_10_B,E,10,B,(DPR) x (WL2 x DPR),NA,1,727
H,E_11_A,E,11,A,TM2,NA,96,566
H,E_11_B,E,11,B,(LV1 x WL2) x (YO11 x WL2),NA,13,998
H,E_12_A,E,12,A,WL2,NA,63,158
H,E_12_B,E,12,B,LV1 x WL2,NA,3,1253
H,E_13_A,E,13,A,WV,NA,5,454
H,E_14_A,E,14,A,WL2,NA,78,173
H,E_14_B,E,14,B,SQ3,NA,4,25
H,E_15_A,E,15,A,LV1,NA,8,8
H,E_15_B,E,15,B,(YO11 x WL2) x (DPR x WL2),NA,5,777
H,E_16_A,E,16,A,(DPR x WL2) x (SQ3 x WL2),NA,12,690
H,E_16_B,E,16,B,WV x TM2,NA,14,206
H,E_17_A,E,17,A,(WL2) x (WV x WL2),NA,12,770
H,E_17_B,E,17,B,(LV1 x WL2) x (TM2 x WL2),NA,2,944
H,E_18_A,E,18,A,(WL2) x (TM2 x WL2),NA,6,916
H,E_18_B,E,18,B,(TM2 x WL2) x (WL2),NA,16,372
H,E_19_A,E,19,A,(LV1 x WL2) x (WL2),NA,15,78
H,E_19_B,E,19,B,WL2,NA,10,105
H,E_20_A,E,20,A,(WV x WL2) x (WV),NA,4,271
H,E_20_B,E,20,B,(SQ3 x WL2) x (WL2),NA,15,94
NA,E_21_A,E,21,A,CC,5,10,CC_5_10
H,E_21_B,E,21,B,NA,NA,NA,NA
NA,E_22_A,E,22,A,IH,2,10,IH_2_10
H,E_22_B,E,22,B,NA,NA,NA,NA
I,E_23_A,E,23,A,BH,NA,14,400
NA,E_23_B,E,23,B,WR,3,2,WR_3_2
I,E_24_A,E,24,A,(WL2) x (WV x WL2),NA,3,761
I,E_24_B,E,24,B,DPR,NA,3,431
I,E_25_A,E,25,A,(CC x TM2) x (WL2 x TM2),NA,1,1429
NA,E_25_B,E,25,B,TM2,1,15,TM2_1_15
I,E_26_A,E,26,A,WL1,NA,13,296
I,E_26_B,E,26,B,TM2,NA,93,563
I,E_27_A,E,27,A,(SQ3 x WL2) x (WL2),NA,16,95
I,E_27_B,E,27,B,(WL2 x DPR) x (TM2 x WL2),NA,6,1319
I,E_28_A,E,28,A,(DPR) x (DPR x WL2),NA,5,715
I,E_28_B,E,28,B,WL2,NA,56,151
NA,E_29_A,E,29,A,TM2,1,9,TM2_1_9
I,E_29_B,E,29,B,(DPR x WL2) x (YO11 x WL2),NA,13,707
I,E_41_A,E,41,A,(TM2 x BH) x (TM2 x BH),NA,8,1342
I,E_41_B,E,41,B,(SQ3 x WL2) x (LV1 x WL2),NA,3,851
I,E_42_A,E,42,A,WV x TM2,NA,3,207
I,E_42_B,E,42,B,LV1 x TM2,NA,24,1248
I,E_43_A,E,43,A,(TM2 x WL2) x (WL2),NA,13,369
I,E_43_B,E,43,B,(WV) x (WV x WL2),NA,3,1389
I,E_44_A,E,44,A,WL2,NA,73,168
NA,E_44_B,E,44,B,SC,4,10,SC_4_10
I,E_45_A,E,45,A,(LV1 x WL2) x (LV1 x WL2),NA,8,1025
I,E_45_B,E,45,B,WL2,NA,47,142
I,E_46_A,E,46,A,(WL1 x WL2) x (WL2 x TM2),NA,2,1147
NA,E_46_B,E,46,B,IH,3,11,IH_3_11
NA,E_47_A,E,47,A,BH,4,11,BH_4_11
I,E_47_B,E,47,B,TM2,NA,35,505
NA,E_48_A,E,48,A,SC,5,11,SC_5_11
I,E_48_B,E,48,B,(TM2 x BH) x (TM2 x WL2),NA,4,1037
NA,E_49_A,E,49,A,YO7,4,3,YO7_4_3
NA,E_49_B,E,49,B,TM2,6,4,TM2_6_4
I,E_50_A,E,50,A,(YO11 x WL2) x (DPR x WL2),NA,2,774
I,E_50_B,E,50,B,(WL2 x CC) x (WL2 x TM2),NA,16,1193
I,E_51_A,E,51,A,(WL1 x WL2) x (BH x WL2),NA,3,334
I,E_51_B,E,51,B,NA,NA,NA,NA
I,E_52_A,E,52,A,NA,NA,NA,buffer
I,E_52_B,E,52,B,NA,NA,NA,buffer
I,E_53_A,E,53,A,NA,NA,NA,buffer
I,E_53_B,E,53,B,NA,NA,NA,buffer
H,E_1_C,E,1,C,NA,NA,NA,buffer
H,E_1_D,E,1,D,NA,NA,NA,buffer
H,E_2_C,E,2,C,NA,NA,NA,buffer
H,E_2_D,E,2,D,NA,NA,NA,buffer
H,E_3_C,E,3,C,NA,NA,NA,buffer
H,E_3_D,E,3,D,NA,NA,NA,buffer
H,E_4_C,E,4,C,(DPR x WL2) x (WV x WL2),NA,1,1457
H,E_4_D,E,4,D,LV1 x TM2,NA,10,1234
H,E_5_C,E,5,C,(WL2 x BH) x (WL2 x TM2),NA,15,250
H,E_5_D,E,5,D,(SQ3 x WL2) x (SQ3 x WL2),NA,11,875
H,E_6_C,E,6,C,TM2,NA,57,527
H,E_6_D,E,6,D,(TM2 x BH) x (BH),NA,1,743
H,E_7_C,E,7,C,(WL2 x DPR) x (WL2),NA,6,1103
H,E_7_D,E,7,D,WV x WL2,NA,4,1406
H,E_8_C,E,8,C,DPR x WL2,NA,3,1212
H,E_8_D,E,8,D,TM2,NA,16,486
H,E_9_C,E,9,C,WL1,NA,10,293
H,E_9_D,E,9,D,(TM2 x BH) x (TM2 x BH),NA,1,1335
H,E_10_C,E,10,C,LV1 x TM2,NA,23,1247
H,E_10_D,E,10,D,(WL2 x CC) x (WL2 x TM2),NA,15,1192
H,E_11_C,E,11,C,(DPR x WL2) x (SQ3 x WL2),NA,4,682
H,E_11_D,E,11,D,(TM2 x WL2) x (YO11 x WL2),NA,6,378
H,E_12_C,E,12,C,(TM2) x (TM2 x WL2),NA,16,235
H,E_12_D,E,12,D,(WL2) x (DPR x WL2),NA,15,909
H,E_13_C,E,13,C,BH x TM2,NA,21,605
H,E_13_D,E,13,D,(TM2 x WL2) x (DPR x WL2),NA,2,1490
H,E_14_C,E,14,C,(TM2 x WL2) x (SQ3 x WL2),NA,4,308
H,E_14_D,E,14,D,DPR,NA,9,437
H,E_15_C,E,15,C,TM2,NA,47,517
H,E_16_C,E,16,C,WL2,NA,45,140
H,E_17_C,E,17,C,WL2,NA,21,116
H,E_17_D,E,17,D,TM2,NA,75,545
H,E_18_C,E,18,C,(WL2 x BH) x (SQ3 x WL2),NA,6,1167
H,E_18_D,E,18,D,WL2,NA,83,178
H,E_19_C,E,19,C,(WV) x (WV x WL2),NA,2,1388
H,E_19_D,E,19,D,(WL2 x TM2) x (CC x TM2),NA,4,255
H,E_20_C,E,20,C,NA,NA,NA,NA
NA,E_20_D,E,20,D,BH,2,10,BH_2_10
NA,E_21_C,E,21,C,YO7,5,5,YO7_5_5
H,E_21_D,E,21,D,NA,NA,NA,NA
I,E_22_C,E,22,C,TM2,NA,98,568
I,E_22_D,E,22,D,LV1 x TM2,NA,11,1235
NA,E_23_C,E,23,C,BH,1,10,BH_1_10
NA,E_23_D,E,23,D,IH,5,10,IH_5_10
I,E_24_C,E,24,C,(WV x WL2) x (WV),NA,5,272
I,E_24_D,E,24,D,WL2,NA,22,117
I,E_25_C,E,25,C,(WL2 x BH) x (WL2 x TM2),NA,9,244
I,E_25_D,E,25,D,SQ3 x WL2,NA,1,637
I,E_26_C,E,26,C,WL2,NA,11,106
I,E_26_D,E,26,D,SQ3,NA,5,26
NA,E_27_C,E,27,C,BH,4,10,BH_4_10
I,E_27_D,E,27,D,(LV1 x WL2) x (WL2),NA,16,79
I,E_28_C,E,28,C,(TM2 x BH) x (BH),NA,2,744
I,E_28_D,E,28,D,LV1,NA,9,9
I,E_29_C,E,29,C,WL2,NA,87,182
NA,E_29_D,E,29,D,IH,4,10,IH_4_10
I,E_41_C,E,41,C,(LV1 x WL2) x (WL2 x DPR),NA,1,956
I,E_41_D,E,41,D,(WL2) x (DPR x WL2),NA,10,904
I,E_42_C,E,42,C,WV x WL2,NA,22,1424
I,E_42_D,E,42,D,(WL2 x TM2) x (CC x TM2),NA,5,256
I,E_43_C,E,43,C,LV1 x WL2,NA,9,1259
NA,E_43_D,E,43,D,IH,1,10,IH_1_10
I,E_44_C,E,44,C,WV,NA,21,470
I,E_44_D,E,44,D,(YO11 x WL2) x (WL2),NA,14,940
I,E_45_C,E,45,C,(WL1 x WL2) x (WL2 x CC),NA,7,1120
I,E_45_D,E,45,D,TM2,NA,1,471
I,E_46_C,E,46,C,BH x TM2,NA,10,594
I,E_46_D,E,46,D,TM2,NA,79,549
I,E_47_C,E,47,C,WV x TM2,NA,23,216
I,E_47_D,E,47,D,TM2,NA,30,500
I,E_48_C,E,48,C,(WL1 x TM2) x (WL2 x TM2),NA,8,328
I,E_48_D,E,48,D,(DPR) x (WL2 x DPR),NA,2,728
I,E_49_C,E,49,C,(TM2 x WL2) x (YO11 x WL2),NA,8,380
I,E_49_D,E,49,D,TM2,NA,49,519
I,E_50_C,E,50,C,(TM2 x WL2) x (SQ3 x WL2),NA,14,318
NA,E_50_D,E,50,D,IH,5,11,IH_5_11
I,E_51_C,E,51,C,NA,NA,NA,NA
I,E_51_D,E,51,D,NA,NA,NA,NA
I,E_52_C,E,52,C,NA,NA,NA,buffer
I,E_52_D,E,52,D,NA,NA,NA,buffer
I,E_53_C,E,53,C,NA,NA,NA,buffer
I,E_53_D,E,53,D,NA,NA,NA,buffer
J,F_1_A,F,1,A,NA,NA,NA,buffer
J,F_1_B,F,1,B,NA,NA,NA,buffer
J,F_2_A,F,2,A,NA,NA,NA,buffer
J,F_2_B,F,2,B,NA,NA,NA,buffer
J,F_3_A,F,3,A,NA,NA,NA,buffer
J,F_3_B,F,3,B,NA,NA,NA,buffer
J,F_4_A,F,4,A,NA,NA,NA,NA
J,F_4_B,F,4,B,LV1,NA,12,12
J,F_5_A,F,5,A,(LV1 x WL2) x (TM2 x WL2),NA,10,952
J,F_6_A,F,6,A,(WL2) x (WV x WL2),NA,10,768
J,F_6_B,F,6,B,(WL1 x WL2) x (WL2 x CC),NA,5,1118
J,F_7_A,F,7,A,(LV1 x WL2) x (YO11 x WL2),NA,8,993
NA,F_7_B,F,7,B,IH,1,12,IH_1_12
J,F_8_A,F,8,A,TM2,NA,65,535
J,F_8_B,F,8,B,(DPR) x (WL2 x DPR),NA,3,729
J,F_9_A,F,9,A,(WV x WL2) x (WV),NA,6,273
J,F_9_B,F,9,B,(WV) x (WV x WL2),NA,4,1390
J,F_10_A,F,10,A,(WL2 x BH) x (SQ3 x WL2),NA,8,1169
J,F_10_B,F,10,B,(WL1 x WL2) x (WL2 x TM2),NA,1,1146
J,F_11_A,F,11,A,SQ3,NA,2,23
J,F_11_B,F,11,B,TM2,NA,40,510
J,F_12_A,F,12,A,(SQ3 x WL2) x (WL2),NA,1,80
J,F_12_B,F,12,B,(WL2 x CC) x (WL2 x TM2),NA,1,1178
J,F_13_A,F,13,A,SQ3 x WL2,NA,9,645
J,F_13_B,F,13,B,WL2,NA,65,160
J,F_14_A,F,14,A,TM2,NA,59,529
J,F_14_B,F,14,B,LV1 x WL2,NA,1,1251
J,F_15_A,F,15,A,(DPR) x (DPR x WL2),NA,2,712
J,F_15_B,F,15,B,(WL2 x DPR) x (DPR),NA,7,1200
J,F_16_A,F,16,A,(DPR x WL2) x (WV x WL2),NA,7,1463
J,F_16_B,F,16,B,BH,NA,15,401
J,F_17_A,F,17,A,WL2,NA,51,146
J,F_17_B,F,17,B,(TM2 x WL2) x (YO11 x WL2),NA,5,377
J,F_18_A,F,18,A,WL2,NA,36,131
J,F_18_B,F,18,B,WV x TM2,NA,15,208
K,F_19_A,F,19,A,(TM2 x BH) x (TM2),NA,12,1061
K,F_19_B,F,19,B,NA,NA,NA,NA
K,F_20_A,F,20,A,(WL2 x DPR) x (TM2 x WL2),NA,8,1321
K,F_20_B,F,20,B,(TM2 x BH) x (TM2 x BH),NA,4,1338
K,F_21_A,F,21,A,LV1 x WL2,NA,20,1270
K,F_21_B,F,21,B,TM2,NA,50,520
K,F_22_A,F,22,A,TM2,NA,22,492
K,F_22_B,F,22,B,TM2,NA,45,515
K,F_23_A,F,23,A,(WL2 x BH) x (SQ3 x WL2),NA,9,1170
K,F_23_B,F,23,B,WL2,NA,13,108
NA,F_24_A,F,24,A,TM2,2,4,TM2_2_4
K,F_24_B,F,24,B,(SQ3 x WL2) x (WL2),NA,2,81
K,F_25_A,F,25,A,BH,NA,16,402
K,F_25_B,F,25,B,(TM2 x WL2) x (WL2),NA,11,367
NA,F_26_A,F,26,A,WL2,8,4,WL2_8_4
K,F_26_B,F,26,B,LV1,NA,13,13
K,F_27_A,F,27,A,(WV) x (WV x WL2),NA,5,1391
K,F_27_B,F,27,B,WL2,NA,43,138
K,F_39_A,F,39,A,(SQ3 x WL2) x (LV1 x WL2),NA,13,861
K,F_39_B,F,39,B,LV1 x TM2,NA,13,1237
K,F_40_A,F,40,A,(YO11 x WL2) x (SQ3 x WL2),NA,8,1009
K,F_40_B,F,40,B,NA,NA,NA,NA
K,F_41_A,F,41,A,CC,NA,18,425
K,F_41_B,F,41,B,TM2,NA,77,547
K,F_42_A,F,42,A,(WL2 x CC) x (WL2 x TM2),NA,2,1179
NA,F_42_B,F,42,B,CC,3,11,CC_3_11
K,F_43_A,F,43,A,(BH) x (TM2 x BH),NA,16,678
NA,F_43_B,F,43,B,CC,8,11,CC_8_11
K,F_44_A,F,44,A,Buffer,NA,NA,NA
K,F_44_B,F,44,B,Buffer,NA,NA,NA
K,F_45_A,F,45,A,WL2,NA,77,172
L,F_45_B,F,45,B,(WL2) x (DPR x WL2),NA,2,896
L,F_46_A,F,46,A,NA,NA,NA,buffer
L,F_46_B,F,46,B,NA,NA,NA,buffer
L,F_47_A,F,47,A,NA,NA,NA,buffer
L,F_47_B,F,47,B,NA,NA,NA,buffer
J,F_1_C,F,1,C,NA,NA,NA,buffer
J,F_1_D,F,1,D,NA,NA,NA,buffer
J,F_2_C,F,2,C,NA,NA,NA,buffer
J,F_2_D,F,2,D,NA,NA,NA,buffer
J,F_3_C,F,3,C,NA,NA,NA,buffer
J,F_3_D,F,3,D,NA,NA,NA,buffer
J,F_4_C,F,4,C,(TM2 x BH) x (TM2 x WL2),NA,14,1047
J,F_4_D,F,4,D,TM2,NA,2,472
J,F_5_C,F,5,C,NA,NA,NA,NA
J,F_5_D,F,5,D,(YO11 x WL2) x (TM2 x WL2),NA,4,820
J,F_6_C,F,6,C,(TM2 x BH) x (BH),NA,3,745
J,F_6_D,F,6,D,TM2,NA,95,565
J,F_7_C,F,7,C,LV1 x TM2,NA,12,1236
J,F_7_D,F,7,D,LV1 x TM2,NA,25,1249
NA,F_8_C,F,8,C,SC,6,12,SC_6_12
J,F_8_D,F,8,D,TM2,NA,26,496
J,F_9_C,F,9,C,(YO11 x WL2) x (WL2),NA,4,930
J,F_9_D,F,9,D,(TM2 x BH) x (TM2),NA,16,1065
J,F_10_C,F,10,C,NA,NA,NA,NA
J,F_10_D,F,10,D,WL2,NA,20,115
J,F_11_C,F,11,C,(LV1 x WL2) x (WL2 x DPR),NA,10,965
J,F_11_D,F,11,D,(WL2 x TM2) x (CC x TM2),NA,6,257
J,F_12_C,F,12,C,(DPR x WL2) x (DPR x WL2),NA,9,1440
J,F_12_D,F,12,D,WL2,NA,12,107
J,F_13_C,F,13,C,DPR,NA,4,432
J,F_13_D,F,13,D,WL2,NA,93,188
J,F_14_C,F,14,C,(TM2 x WL2) x (WL2),NA,1,357
J,F_14_D,F,14,D,WL1,NA,19,302
J,F_15_C,F,15,C,WV,NA,6,455
J,F_15_D,F,15,D,(DPR x WL2) x (SQ3 x WL2),NA,11,689
J,F_16_C,F,16,C,(TM2 x WL2) x (SQ3 x WL2),NA,12,316
J,F_16_D,F,16,D,NA,NA,NA,NA
J,F_17_C,F,17,C,(YO11 x WL2) x (SQ3 x WL2),NA,7,1008
J,F_17_D,F,17,D,NA,NA,NA,NA
J,F_18_C,F,18,C,(DPR x WL2) x (TM2 x WL2),NA,11,1453
J,F_18_D,F,18,D,(LV1 x WL2) x (WL2),NA,1,64
J,F_19_C,F,19,C,NA,NA,NA,NA
K,F_19_D,F,19,D,WV x TM2,NA,24,217
K,F_20_C,F,20,C,TM2 x YO11,NA,5,1222
K,F_20_D,F,20,D,(TM2 x WL2) x (YO11 x WL2),NA,9,381
K,F_21_C,F,21,C,(WL2 x TM2) x (CC x TM2),NA,7,258
K,F_21_D,F,21,D,(DPR) x (WL2 x DPR),NA,4,730
K,F_22_C,F,22,C,WL1,NA,12,295
K,F_22_D,F,22,D,WV x TM2,NA,16,209
NA,F_23_C,F,23,C,SC,2,23,SC_2_23
K,F_23_D,F,23,D,TM2,NA,3,473
K,F_24_C,F,24,C,(WV x WL2) x (WV),NA,7,274
K,F_24_D,F,24,D,TM2 x WL2,NA,21,1297
K,F_25_C,F,25,C,(TM2 x BH) x (BH),NA,4,746
K,F_25_D,F,25,D,(LV1 x WL2) x (YO11 x WL2),NA,6,991
K,F_26_C,F,26,C,WL2,NA,27,122
K,F_26_D,F,26,D,(TM2 x WL2) x (TM2),NA,4,346
K,F_27_C,F,27,C,WV x WL2,NA,3,1405
K,F_27_D,F,27,D,(WL2) x (DPR x WL2),NA,14,908
K,F_38_D,F,38,D,(DPR x WL2) x (YO11 x WL2),NA,15,709
K,F_39_C,F,39,C,(WL2 x DPR) x (YO11 x WL2),NA,3,571
K,F_39_D,F,39,D,WL2,NA,84,179
K,F_40_C,F,40,C,(LV1 x WL2) x (WL2),NA,2,65
K,F_40_D,F,40,D,TM2,NA,84,554
K,F_41_C,F,41,C,(WL1 x TM2) x (WL2 x TM2),NA,9,329
K,F_41_D,F,41,D,(TM2 x WL2) x (SQ3 x WL2),NA,10,314
K,F_42_C,F,42,C,WL2,NA,52,147
K,F_42_D,F,42,D,(YO11 x WL2) x (WL2),NA,1,927
NA,F_43_C,F,43,C,CC,9,11,CC_9_11
K,F_43_D,F,43,D,SQ3 x WL2,NA,16,652
NA,F_44_C,F,44,C,IH,4,11,IH_4_11
K,F_44_D,F,44,D,NA,NA,NA,NA
K,F_45_C,F,45,C,(DPR) x (DPR x WL2),NA,7,717
L,F_45_D,F,45,D,NA,NA,NA,buffer
L,F_46_C,F,46,C,(LV1 x WL2) x (WL2),NA,3,66
L,F_46_D,F,46,D,(DPR x WL2) x (WV x WL2),NA,4,1460
L,F_47_C,F,47,C,NA,NA,NA,buffer
L,F_47_D,F,47,D,NA,NA,NA,buffer
L,G_1_A,G,1,A,NA,NA,NA,buffer
L,G_1_B,G,1,B,NA,NA,NA,buffer
L,G_2_A,G,2,A,NA,NA,NA,buffer
L,G_2_B,G,2,B,NA,NA,NA,buffer
L,G_3_A,G,3,A,NA,NA,NA,buffer
L,G_3_B,G,3,B,NA,NA,NA,buffer
L,G_4_A,G,4,A,LV1 x TM2,NA,14,1238
L,G_4_B,G,4,B,WV,NA,7,456
L,G_5_A,G,5,A,(WV) x (WV x WL2),NA,6,1392
NA,G_5_B,G,5,B,IH,4,12,IH_4_12
L,G_6_A,G,6,A,(SQ3 x WL2) x (WL2),NA,3,82
L,G_6_B,G,6,B,LV1,NA,14,14
L,G_7_A,G,7,A,TM2,NA,67,537
L,G_7_B,G,7,B,(YO11 x WL2) x (WL2),NA,7,933
NA,G_8_A,G,8,A,YO7,6,15,YO7_6_15
L,G_8_B,G,8,B,TM2,NA,29,499
L,G_9_A,G,9,A,WL2,NA,68,163
L,G_9_B,G,9,B,(TM2 x WL2) x (SQ3 x WL2),NA,1,305
L,G_10_A,G,10,A,BH,NA,1,387
L,G_10_B,G,10,B,WL2,NA,58,153
L,G_11_A,G,11,A,(WL2 x BH) x (WL2 x TM2),NA,14,249
L,G_11_B,G,11,B,(TM2 x BH) x (BH),NA,5,747
L,G_12_A,G,12,A,(SQ3 x WL2) x (TM2 x WL2),NA,14,892
L,G_12_B,G,12,B,(DPR) x (WL2 x DPR),NA,5,731
L,G_13_A,G,13,A,BH x TM2,NA,22,606
L,G_13_B,G,13,B,(SQ3 x WL2) x (YO11 x WL2),NA,2,1501
L,G_14_A,G,14,A,(TM2 x WL2) x (WL2),NA,9,365
L,G_14_B,G,14,B,WV,NA,12,461
L,G_15_A,G,15,A,(WV x WL2) x (WV),NA,8,275
L,G_15_B,G,15,B,(LV1 x WL2) x (YO11 x WL2),NA,12,997
L,G_16_A,G,16,A,(DPR x WL2) x (TM2 x WL2),NA,3,1445
L,G_16_B,G,16,B,WL2,NA,39,134
L,G_17_A,G,17,A,buffer,NA,NA,NA
L,G_17_B,G,17,B,Buffer,NA,NA,NA
M,G_18_A,G,18,A,TM2,NA,5,475
M,G_18_B,G,18,B,WL2 x BH,NA,4,833
M,G_19_A,G,19,A,(YO11 x WL2) x (WL2 x TM2),NA,15,802
M,G_19_B,G,19,B,LV1 x WL2,NA,15,1265
M,G_20_A,G,20,A,WL2,NA,74,169
M,G_20_B,G,20,B,WV,NA,11,460
M,G_21_A,G,21,A,LV1 x TM2,NA,15,1239
M,G_21_B,G,21,B,(DPR x WL2) x (YO11 x WL2),NA,16,710
M,G_22_A,G,22,A,WV x WL2,NA,16,1418
M,G_22_B,G,22,B,(DPR x WL2) x (TM2 x WL2),NA,14,1456
M,G_23_A,G,23,A,(LV1 x WL2) x (YO11 x WL2),NA,9,994
M,G_23_B,G,23,B,TM2,NA,80,550
M,G_24_A,G,24,A,TM2 x WL2,NA,1,1277
M,G_24_B,G,24,B,TM2,NA,32,502
M,G_25_A,G,25,A,(WL1 x WL2) x (WL2 x CC),NA,2,1115
M,G_25_B,G,25,B,TM2,NA,42,512
M,G_26_A,G,26,A,TM2,NA,91,561
M,G_26_B,G,26,B,(WV x WL2) x (WV),NA,9,276
M,G_27_A,G,27,A,BH,NA,2,388
M,G_27_B,G,27,B,(TM2 x BH) x (BH),NA,6,748
M,G_28_A,G,28,A,WL2,NA,57,152
M,G_28_B,G,28,B,DPR,NA,12,440
M,G_29_A,G,29,A,(WV) x (WV x WL2),NA,7,1393
M,G_29_B,G,29,B,(DPR) x (WL2 x DPR),NA,6,732
M,G_30_A,G,30,A,WV x TM2,NA,2,195
M,G_30_B,G,30,B,NA,NA,NA,NA
NA,G_31_A,G,31,A,BH,7,13,BH_7_13
M,G_31_B,G,31,B,NA,NA,NA,NA
N,G_32_A,G,32,A,LV1 x WL2,NA,4,1254
N,G_32_B,G,32,B,YO11,NA,1,43
N,G_33_A,G,33,A,TM2,NA,86,556
