"block","bed","row","col","unique.ID","bud.date","flower.date","fruit.date","last.FL.date","last.FR.date","death.date","missing.date","survey.notes","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","missing.date_dt"
NA,"B",43,"A","BH_5_5",2024-06-18,2024-07-02,2024-07-09,2024-08-13,2024-08-13,2024-10-02,NA,"9/17 dehisce","BH","5","5",30,44,51,86,86,136,NA
NA,"B",56,"A","SC_6_15",NA,2024-07-09,2024-07-23,2024-08-20,2024-08-27,2024-10-02,NA,"marked as budding without date / 8/20 many flowers dead and tape","SC","6","15",NA,51,65,93,100,136,NA
NA,"B",57,"A","IH_4_4",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"IH","4","4",NA,NA,NA,NA,NA,30,NA
NA,"B",19,"D","CC_2_6",2024-06-18,2024-07-02,2024-07-16,2024-09-03,2024-09-10,2024-10-09,NA,"6/25/24 some buds being eaten","CC","2","6",30,44,58,107,114,143,NA
NA,"B",26,"C","IH_5_5",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"IH","5","5",NA,NA,NA,NA,NA,30,NA
NA,"B",28,"C","BH_4_5",2024-06-18,2024-07-02,2024-07-09,2024-09-03,2024-09-10,2024-10-09,NA,"7/30 some buds dying 8/20 tape","BH","4","5",30,44,51,107,114,143,NA
NA,"B",36,"D","TM2_1_4",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","1","4",NA,NA,NA,NA,NA,NA,NA
NA,"B",43,"D","TM2_7_10",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","7","10",NA,NA,NA,NA,NA,NA,NA
NA,"B",45,"C","WL2_1_11",2024-06-18,2024-06-18,2024-07-16,2024-08-27,2024-09-03,2024-09-24,NA,"8/27 some fruits dehiscing","WL2","1","11",30,30,58,100,107,128,NA
NA,"B",47,"C","YO7_4_6",2024-06-18,2024-07-09,2024-07-16,2024-08-13,2024-08-13,2024-09-24,NA,"8/27 many fruits dehiscing","YO7","4","6",30,51,58,86,86,128,NA
NA,"B",56,"C","TM2_1_3",2024-07-09,2024-07-16,2024-07-23,2024-08-20,2024-08-20,2024-10-02,NA,"8/20 few buds left / dry flowers / tape","TM2","1","3",51,58,65,93,93,136,NA
NA,"B",57,"D","BH_2_4",2024-06-18,2024-07-02,2024-07-16,2024-08-06,2024-08-13,2024-09-03,NA,"6/18/24 no tag 7/30 some buds dying 8/20 tape","BH","2","4",30,44,58,79,86,107,NA
NA,"C",6,"A","CC_1_6",2024-06-18,NA,NA,NA,NA,2024-07-16,NA,"7/2/24 dying","CC","1","6",30,NA,NA,NA,NA,58,NA
NA,"C",22,"B","BH_6_7",2024-06-18,2024-07-02,2024-07-09,2024-08-20,2024-08-20,2024-10-02,NA,"7/16 some fuits look sick 7/30 buds 8/13 flowers dead 8/20 tape","BH","6","7",30,44,51,93,93,136,NA
NA,"C",36,"B","SC_2_19",2024-06-25,2024-07-23,2024-08-06,NA,NA,2024-08-13,NA,"7/16 some buds dying 8/20 branch snapped","SC","2","19",37,65,79,NA,NA,86,NA
NA,"C",40,"B","BH_1_7",2024-06-25,2024-07-16,2024-07-23,2024-08-06,2024-08-06,2024-10-02,NA,"8/20 tape","BH","1","7",37,58,65,79,79,136,NA
