"block","bed","row","col","unique.ID","bud.date","flower.date","fruit.date","last.FL.date","last.FR.date","death.date","missing.date","survey.notes","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","missing.date_dt"
NA,"J",4,"A","YO7_3_8",2024-06-18,2024-07-09,2024-07-09,2024-07-16,2024-07-30,2024-09-24,NA,"missed the flowering dates 7/23 FR still elongating 8/6","YO7","3","8",30,51,51,58,72,128,NA
NA,"J",5,"A","TM2_2_11",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","2","11",NA,NA,NA,NA,NA,NA,NA
NA,"J",8,"A","BH_5_2",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"BH","5","2",NA,NA,NA,NA,NA,30,NA
NA,"J",10,"A","BH_4_2",NA,NA,NA,NA,NA,NA,NA,"9/10 dying/9/24 green leaves","BH","4","2",NA,NA,NA,NA,NA,NA,NA
NA,"J",15,"A","YO7_7_11",NA,NA,NA,NA,NA,NA,NA,NA,"YO7","7","11",NA,NA,NA,NA,NA,NA,NA
NA,"J",17,"B","TM2_5_12",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","5","12",NA,NA,NA,NA,NA,NA,NA
NA,"J",18,"B","SC_8_2",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"SC","8","2",NA,NA,NA,NA,NA,30,NA
NA,"J",4,"D","TM2_7_7",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","7","7",NA,NA,NA,NA,NA,NA,NA
NA,"J",11,"D","IH_5_2",2024-07-09,2024-07-23,2024-07-30,2024-08-27,NA,2024-10-02,NA,"9/3 snapped before reaching last fruit / 9/3 census + harvest","IH","5","2",51,65,72,100,NA,136,NA
NA,"J",13,"C","BH_6_2",NA,NA,NA,NA,NA,NA,NA,NA,"BH","6","2",NA,NA,NA,NA,NA,NA,NA
NA,"J",17,"D","LV1_8_1",NA,NA,NA,NA,NA,2024-07-09,NA,"6/18/24 turgid stem/no leaves","LV1","8","1",NA,NA,NA,NA,NA,51,NA
NA,"K",2,"B","IH_4_14",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"IH","4","14",NA,NA,NA,NA,NA,30,NA
NA,"K",4,"B","IH_6_2",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"IH","6","2",NA,NA,NA,NA,NA,30,NA
NA,"K",10,"A","YO7_1_2",2024-06-18,2024-06-25,2024-07-02,2024-07-16,2024-07-30,2024-08-27,NA,"7/16 remaining flowers dry 8/6 fruit drying 8/13/24 harvest fruit","YO7","1","2",30,37,44,58,72,100,NA
NA,"K",13,"A","CC_1_2",2024-06-18,2024-07-09,2024-07-16,2024-08-27,2024-09-03,2024-10-23,NA,"9/17 has multiple flowers/ 10/2 still flowering","CC","1","2",30,51,58,100,107,157,NA
NA,"K",2,"C","YO7_5_13",2024-06-18,2024-06-25,2024-07-09,2024-07-23,2024-07-30,2024-08-27,NA,"8/13/24 harvest fruit","YO7","5","13",30,37,51,65,72,100,NA
NA,"K",7,"C","SC_6_2",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"SC","6","2",NA,NA,NA,NA,NA,30,NA
NA,"K",8,"C","IH_1_2",NA,NA,NA,NA,NA,2024-06-18,NA,"6/18/24 no tag","IH","1","2",NA,NA,NA,NA,NA,30,NA
NA,"K",12,"D","TM2_6_12",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","6","12",NA,NA,NA,NA,NA,NA,NA
