bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID
F,10,A,BH,1,1,,15,2616
F,10,B,DPR,20,20,,18,1659
F,11,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,50,2288
F,11,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,20,2533
F,12,A,YO11 x WL2,,,,1,2494
F,12,B,(TM2 x WL2) x (TM2),3_2-13,3,2-13,8,2136
F,13,A,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,18,2109
F,13,B,buffer,,,,,buffer
F,14,A,DPR,19,19,,21,1662
F,14,B,WL2 x YO11,2-A_11-2,2-A,11-2,2,2433
F,15,A,TM2,4,4,,28,2631
F,15,B,(WV x TM2) x (TM2 x WL2),2_1,2,1,7,2611
F,16,A,(DPR x WL2) x (WV x WL2),,,,7,1463
F,16,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,5,2196
F,17,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,51,2289
F,17,B,WL2,9,9,,89,1912
F,18,A,WL2 x WL1,10-1_2-1,10-1,2-1,1,2035
F,18,B,(WL2) x (WL2 x BH),3-14_1,3-14,1,4,2459
F,19,A,SQ3 x WL2,6-C_8-A,6-C,8-A,1,1989
F,19,B,(WV x TM2) x (WL2 x TM2),3_1,3,1,2,2341
F,20,A,buffer,,,,,buffer
F,20,B,(WL2 x BH) x (CC x WL2),2_2,2,2,3,2603
F,21,A,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,19,2110
F,21,B,(WV x WL2) x (WL2 x BH),2_2,2,2,8,2350
F,22,A,buffer,,,,,buffer
F,22,B,WL1 x WL2,2-2_10-1,2-2,10-1,5,2010
F,23,A,BH,3,3,,3,1602
F,23,B,(WL2) x (WL2 x TM2),3-14_2,3-14,2,10,2462
F,24,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,9,2247
F,24,B,WL2 x SQ3,,,,2,2027
F,25,A,buffer,,,,,buffer
F,25,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,18,2530
F,26,A,WL1,18,18,,9,1811
F,26,B,SQ3,12,12,,9,1692
F,27,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,4,2514
F,27,B,(WV) x (WV x WL2),3_22,3,22,4,2581
F,28,A,TM2,3,3,,20,1724
F,28,B,(WV x WL2) x (WL2 x CC),3_1,3,1,14,2571
F,29,A,NA,,,,,NA
F,29,B,NA,,,,,NA
F,39,A,(SQ3 x WL2) x (LV1 x WL2),,,,13,861
F,39,B,buffer,,,,,buffer
F,40,A,buffer,,,,,buffer
F,40,B,NA,,,,,NA
F,41,A,WL2,6,6,,57,1880
F,41,B,buffer,,,,,buffer
F,42,A,TM2,9,9,,69,1773
F,42,B,WV,18,18,,3,1924
F,43,A,YO11,5,5,,17,1959
F,43,B,(WL2 x TM2) x (TM2),2_1-3,2,1-3,47,2285
F,44,A,(WL2 x BH) x (WL2 x TM2),2_3,2,3,1,2214
F,44,B,(WV x WL2) x (WL2 x CC),3_1,3,1,11,2570
F,45,A,WL2,5,5,,48,1871
F,45,B,(WL2 x TM2) x (WL2 x BH),1_2,1,2,1,2290
F,46,A,buffer,,,,,buffer
F,46,B,buffer,,,,,buffer
F,47,A,buffer,,,,,buffer
F,47,B,buffer,,,,,buffer
F,1,C,buffer,,,,,buffer
F,1,D,buffer,,,,,buffer
F,2,C,buffer,,,,,buffer
F,2,D,buffer,,,,,buffer
F,3,C,buffer,,,,,buffer
F,3,D,buffer,,,,,buffer
F,4,C,(WV x WL2) x (WL2 x BH),2_2,2,2,7,2349
F,4,D,LV1 x WL2,14_8,14,8,2,2482
F,5,C,SQ3,5,5,,5,1688
F,5,D,(LV1 x WL2) x (YO11 x WL2),8_25,8,25,1,2497
F,6,C,NA,,,,,NA
F,6,D,TM2,,,,95,565
F,7,C,TM2 x WL2,,,,11,2002
F,7,D,(SQ3 x WL2) x (WL2),5_13-B,5,13-B,26,2117
F,8,C,buffer,,,,,buffer
F,8,D,(WL2 x TM2) x (TM2),2_1-3,2,1-3,29,2267
F,9,C,(LV1 x WL2) x (WL2),6_16-A,6,16-A,1,2087
F,9,D,(WL2 x BH) x (WL2 x CC),1_2,1,2,4,2195
F,10,C,(WL2 x BH) x (CC x WL2),2_2,2,2,2,2189
F,10,D,BH x WL2,1-3_8-1,1-3,8-1,9,2474
F,11,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,43,2281
F,11,D,(WL2 x BH) x (WL2 x CC),1_2,1,2,2,2511
F,12,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,8,2246
F,12,D,buffer,,,,,buffer
F,13,C,buffer,,,,,buffer
F,13,D,LV1 x WL2,14_8,14,8,2,2481
F,14,C,WL1,8,8,,2,2404
F,14,D,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,6,2447
F,15,C,(WV x TM2) x (TM2 x WL2),2_1,2,1,3,2334
F,15,D,(WV x WL2) x (WV),20_7-3,20,7-3,4,2371
F,16,C,(WL2 x TM2) x (WV x WL2),3_4,3,4,1,2294
F,16,D,(TM2 x WL2) x (TM2 x BH),14_13,14,13,1,2126
F,17,C,TM2,9,9,,67,1771
F,17,D,buffer,,,,,buffer
F,18,C,(WL2 x WV) x (CC x WL2),1_1,1,1,3,2298
F,18,D,(LV1 x WL2) x (WL2),,,,1,64
F,19,C,(TM2 x WL2) x (WL2 x DPR),15_18,15,18,2,2167
F,19,D,(TM2) x (TM2 x WL2),2-1_2,2-1,2,3,2506
F,20,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,24,2262
F,20,D,(TM2 x WL2) x (YO11 x WL2),,,,9,381
F,21,C,WL2,5,5,,46,1869
F,21,D,NA,,,,,NA
F,22,C,buffer,,,,,buffer
F,22,D,(LV1 x WL2) x (WL2),6_16-A,6,16-A,3,2443
F,23,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,5,2082
F,23,D,WL2,2,2,,20,1843
F,24,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,33,2271
F,24,D,WV,11,11,,21,2629
F,25,C,(WL2 x WV) x (CC x WL2),1_1,1,1,2,2545
F,25,D,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,3,2448
F,26,C,(TM2 x WL2) x (TM2),3_2-13,3,2-13,11,2139
F,26,D,(DPR x TM2) x (TM2 x WL2),3_2,3,2,2,2587
F,27,C,WL2 x DPR,,,,3,2016
F,27,D,WL2,10,10,,91,1914
F,28,C,(CC x WL2) x (WL2),4_13-B,4,13-B,9,2438
F,28,D,TM2 x WL2,,,,12,2003
F,29,C,NA,,,,,NA
F,29,D,NA,,,,,NA
F,40,C,LV1 x WL2,14_8,14,8,6,1983
F,40,D,(WL2 x BH) x (WL2 x CC),,,,17,2529
F,41,C,SQ3,12,12,,10,1693
F,41,D,(TM2 x WL2) x (SQ3 x WL2),,,,10,314
F,42,C,WL2 x CC,,,,1,2013
F,42,D,(WL2) x (WL2 x BH),3-14_1,3-14,1,7,2315
F,43,C,SQ3,7,7,,21,2401
F,43,D,TM2,3,3,,21,1725
F,44,C,buffer,,,,,buffer
F,44,D,(TM2 x WL2) x (TM2),3_2-13,3,2-13,12,2140
F,45,C,WL1,8,8,,7,2407
F,45,D,(WL2 x WV) x (CC x WL2),1_1,1,1,3,2546
F,46,C,buffer,,,,,buffer
F,46,D,buffer,,,,,buffer
F,47,C,buffer,,,,,buffer
F,47,D,buffer,,,,,buffer
G,1,A,buffer,,,,,buffer
G,1,B,buffer,,,,,buffer
G,2,A,buffer,,,,,buffer
G,2,B,buffer,,,,,buffer
G,3,A,buffer,,,,,buffer
G,3,B,buffer,,,,,buffer
G,4,A,(WL2) x (WL2 x TM2),3-14_2,3-14,2,5,2460
G,4,B,WL2 x YO11,8-1_14-10,8-1,14-10,7,2053
G,5,A,WL1,18,18,,10,1812
G,5,B,WL2 x WV,,,,1,2491
G,6,A,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,1,2092
G,6,B,BH,3,3,,5,1604
G,7,A,(WV x TM2) x (TM2 x WL2),2_1,2,1,4,2335
G,7,B,(WV x WL2) x (WL2 x BH),2_2,2,2,9,2351
G,8,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,3,2513
G,8,B,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,21,2112
G,9,A,(WL2 x WV) x (CC x WL2),1_1,1,1,4,2299
G,9,B,WL2,3,3,,22,1845
G,10,A,(DPR x TM2) x (TM2 x WL2),3_2,3,2,3,2588
G,10,B,(WL2 x TM2) x (TM2),2_1-3,2,1-3,10,2248
G,11,A,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,2,2232
G,11,B,(WV x WL2) x (WV),20_7-3,20,7-3,5,2372
G,12,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,25,2263
G,12,B,(CC x WL2) x (WL2),2_13-B,2,13-B,1,2436
G,13,A,WL2 x LV1,8-1_14-1,8-1,14-1,3,2021
G,13,B,buffer,,,,,buffer
G,14,A,(WL2 x WV) x (CC x WL2),1_1,1,1,3,2547
G,14,B,(WL2 x TM2) x (TM2),2_1-3,2,1-3,12,2250
G,15,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,42,2280
G,15,B,WL1,18,18,,12,1814
G,16,A,TM2,,,,93,1797
G,16,B,WL2 x YO11,8-1_11-1,8-1,11-1,4,2435
G,17,A,(WV x WL2) x (WL2 x CC),3_1,3,1,15,2572
G,17,B,WV,18,18,,4,1925
G,18,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,26,2264
G,18,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,1,2508
G,19,A,(LV1 x WL2) x (WL2),6_16-A,6,16-A,2,2441
G,19,B,(WL2 x BH) x (WL2 x TM2),2_3,2,3,2,2215
G,20,A,(TM2 x WL2) x (TM2),3_1-3,3,1-3,6,2599
G,20,B,(DPR x TM2) x (TM2 x WL2),3_2,3,2,4,2589
G,21,A,WL2,3,3,,23,1846
G,21,B,(TM2) x (TM2 x WL2),,,,16,2184
G,22,A,(DPR x TM2) x (TM2 x WL2),3_2,3,2,7,2084
G,22,B,WL1 x WL2,2-2_10-1,2-2,10-1,6,2424
G,23,A,TM2,11,11,,72,1776
G,23,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,7,2198
G,24,A,SQ3,12,12,,11,1694
G,24,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,22,2536
G,25,A,(WV x WL2) x (WL2 x CC),3_1,3,1,3,2355
G,25,B,(WL2 x TM2) x (WL2 x BH),1_2,1,2,2,2456
G,26,A,(WV x WL2) x (WL2 x BH),2_2,2,2,3,2561
G,26,B,(LV1 x WL2) x (YO11 x WL2),8_25,8,25,1,2496
G,27,A,buffer,,,,,buffer
G,27,B,(WV x TM2) x (TM2 x WL2),2_1,2,1,7,2612
G,28,A,(TM2 x WL2) x (TM2),3_2-13,3,2-13,16,2144
G,28,B,(WV x WL2) x (WL2 x BH),2_2,2,2,6,2565
G,29,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,13,2251
G,29,B,(WL2 x BH) x (WL2 x TM2),2_3,2,3,3,2216
G,30,A,WV x TM2,,,,2,195
G,30,B,(TM2 x WL2) x (TM2),3_2-13,3,2-13,29,2157
G,31,A,(WV x WL2) x (WL2 x CC),3_1,3,1,9,2469
G,31,B,BH,3,3,,2,2615
G,32,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,49,2287
G,32,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,8,2199
G,33,A,(WV x WL2) x (WL2 x CC),3_1,3,1,7,2465
G,33,B,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,12,2500
G,34,A,WL2,3,3,,24,1847
G,34,B,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,23,2114
G,35,A,(WL2 x BH) x (WL2 x CC),2_3,2,3,21,2535
G,35,B,(WL2 x BH) x (CC x WL2),2_2,2,2,1,2188
G,36,A,(WL2 x WV) x (CC x WL2),1_1,1,1,4,2548
G,36,B,TM2,4,4,,28,1732
G,37,A,buffer,,,,,buffer
G,37,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,14,2527
G,38,A,SQ3,12,12,,14,1697
G,38,B,(WV x WL2) x (WL2 x DPR),,,,6,1330
G,39,A,DPR,11,11,,3,2618
G,39,B,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,3,2094
G,40,A,(TM2) x (TM2 x WL2),2-1_2,2-1,2,3,2171
G,40,B,(WL2 x TM2) x (TM2),2_1-3,2,1-3,32,2270
G,41,A,(WL2 x CC) x (WL2 x BH),1_1,1,1,3,2229
G,41,B,(DPR x WL2) x (YO11 x WL2),,,,12,706
G,42,A,buffer,,,,,buffer
G,42,B,(DPR x WL2) x (WV x WL2),,,,8,1464
G,43,A,buffer,,,,,buffer
G,44,A,buffer,,,,,buffer
G,44,B,buffer,,,,,buffer
G,45,A,buffer,,,,,buffer
G,45,B,buffer,,,,,buffer
G,1,C,buffer,,,,,buffer
G,1,D,buffer,,,,,buffer
G,2,C,buffer,,,,,buffer
G,2,D,buffer,,,,,buffer
G,3,C,buffer,,,,,buffer
G,3,D,buffer,,,,,buffer
G,4,C,TM2,6,6,,47,2632
G,4,D,(WL2 x DPR) x (WL2),,,,3,1100
G,5,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,6,2083
G,5,D,YO7,5,,,7,YO7_5_7
G,6,C,(WL2 x BH) x (WL2 x CC),2_3,2,3,22,2537
G,6,D,(WV x WL2) x (WL2 x BH),2_2,2,2,1,2560
G,7,C,(WL2) x (DPR x WL2),3,,3,1,2306
G,7,D,WL2 x LV1,2-A_14-A,2-A,14-A,6,2024
G,8,C,(TM2 x WL2) x (TM2),3_1-3,3,1-3,1,2598
G,8,D,TM2,,,,60,530
G,9,C,WL1 x WL2,2-3_2-2,2-3,2-2,3,2008
G,9,D,buffer,,,,,buffer
G,10,C,(WL2 x BH) x (WL2 x CC),1_2,1,2,6,2197
G,10,D,buffer,,,,,buffer
G,11,C,(LV1 x WL2) x (YO11 x WL2),8_25,8,25,1,2495
G,11,D,(LV1 x WL2) x (WL2),6_16-A,6,16-A,3,2089
G,12,C,buffer,,,,,buffer
G,12,D,buffer,,,,,buffer
G,13,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,47,2645
G,13,D,TM2,4,4,,25,1729
G,14,C,(TM2 x WL2) x (TM2),3_2-13,3,2-13,14,2142
G,14,D,(WV x WL2) x (WL2 x BH),2_2,2,2,10,2352
G,15,C,NA,,,,,NA
G,15,D,TM2,11,11,,72,2639
G,16,C,LV1 x WL2,14_8,14,8,2,1979
G,16,D,WL2,4,4,,40,1863
G,17,C,(WL2 x BH) x (WL2 x CC),1_2,1,2,6,2517
G,17,D,NA,,,,,NA
G,18,C,(WL2 x WV) x (CC x WL2),1_1,1,1,5,2300
G,18,D,(WL2 x WV) x (CC x WL2),1_1,1,1,7,2553
G,19,C,(WV x WL2) x (WL2 x CC),3_1,3,1,3,2464
G,19,D,(WV x TM2) x (WL2 x TM2),3_1,3,1,1,2556
G,20,C,BH,3,3,,3,2614
G,20,D,(WL2 x TM2) x (WV x WL2),3_4,3,4,2,2295
G,21,C,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,3,2233
G,21,D,(WV x TM2) x (TM2 x WL2),2_1,2,1,5,2336
G,22,C,(CC x WL2) x (WL2),4_13-B,4,13-B,14,2439
G,22,D,NA,,,,,NA
G,23,C,buffer,,,,,buffer
G,23,D,NA,,,,,NA
G,24,C,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,2,2093
G,24,D,(WL2) x (WL2 x TM2),3-14_2,3-14,2,12,2327
G,25,C,WL2,7,7,,68,1891
G,25,D,SQ3 x WL2,6-C_8-A,6-C,8-A,3,1991
G,26,C,WL2 x LV1,8-1_14-1,8-1,14-1,10,2650
G,26,D,(WL2) x (WL2 x BH),3-14_1,3-14,1,5,2313
G,27,C,WL2,7,7,,67,1890
G,27,D,(WV x WL2) x (WL2 x BH),2_2,2,2,5,2562
G,28,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,4,2590
G,28,D,(WL2) x (WL2 x BH),3-14_1,3-14,1,2,2310
G,29,C,(CC x WL2) x (WL2),4_13-B,4,13-B,14,2074
G,29,D,NA,,,,,NA
G,30,C,TM2,9,9,,64,2635
G,30,D,(WV x WL2) x (WV),20_7-3,20,7-3,3,2575
G,31,C,WL2 x LV1,8-1_14-1,8-1,14-1,1,2019
G,31,D,TM2,8,8,,61,1765
G,32,C,WL1,18,18,,13,1815
G,32,D,WL2,5,5,,49,1872
G,33,C,WL1 x WL2,2-3_2-2,2-3,2-2,1,2421
G,33,D,(WV x TM2) x (TM2 x WL2),2_1,2,1,1,2604
G,34,C,(WL2 x BH) x (WL2 x TM2),,,,3,238
G,34,D,(WL2 x TM2) x (TM2),2_1-3,2,1-3,37,2275
G,35,C,(WV) x (WV x WL2),,,,8,1394
G,35,D,(WL2 x WV) x (CC x WL2),1_1,1,1,6,2301
G,36,C,LV1 x TM2,,,,16,1240
G,36,D,(DPR) x (WL2 x DPR),,,,7,733
G,37,C,WL2 x YO11,2-A_11-2,2-A,11-2,3,2049
G,37,D,(WL2 x TM2) x (CC x TM2),,,,10,261
G,38,C,WV,12,12,,9,1930
G,38,D,(DPR x WL2) x (TM2 x WL2),,,,5,1447
G,39,C,(WL2) x (WL2 x TM2),3-14_2,3-14,2,6,2321
G,39,D,(WV x TM2) x (TM2 x WL2),2_1,2,1,6,2337
G,40,C,(WL2 x TM2) x (WL2 x BH),1_2,1,2,4,2293
G,40,D,CC,1,1,,4,1624
G,41,C,(WV) x (WV x WL2),3_22,3,22,4,2378
G,41,D,(WL2 x BH) x (WL2 x CC),1_2,1,2,3,2512
G,42,C,(WV x WL2) x (WL2 x CC),3_1,3,1,6,2358
G,42,D,buffer,,,,,buffer
G,44,C,buffer,,,,,buffer
G,44,D,buffer,,,,,buffer
G,45,C,buffer,,,,,buffer
G,45,D,buffer,,,,,buffer
H,23,B,(DPR) x (WL2 x DPR),,,,8,734
I,9,B,BH,,,,5,391
I,10,A,LV1 x WL2,,,,22,1272
I,11,A,LV1 x TM2,,,,26,1250
