bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID
D,19,A,WL2,2,2,,12,2393
D,19,B,WL2,,,,46,141
D,20,A,(WL2 x BH) x (WL2 x CC),2_3,2,3,20,2532
D,20,B,buffer,,,,,buffer
D,21,A,(WV x WL2) x (WL2 x CC),3_1,3,1,11,2363
D,21,B,(WV x TM2) x (TM2 x WL2),2_1,2,1,4,2609
D,22,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,15,2206
D,22,B,(DPR x TM2) x (TM2 x WL2),3_2,3,2,6,2593
D,23,A,WL2,8,8,,71,1894
D,23,B,BH x WL2,19-A_8-A,19-A,8-A,5,2413
D,24,A,(TM2 x WL2) x (TM2),3_1-3,3,1-3,1,2597
D,24,B,(CC x WL2) x (WL2),4_2A,4,2A,15,2440
D,25,A,(TM2) x (TM2 x WL2),2-1_2,2-1,2,2,2504
D,25,B,(WL2 x BH) x (WL2 x TM2),2_3,2,3,9,2222
D,26,A,(WV x WL2) x (WV),20_7-3,20,7-3,5,2577
D,26,B,WL1,8,8,,1,1803
D,27,A,WV,11,11,,18,1939
D,27,B,(LV1 x WL2) x (WL2),6_16-A,6,16-A,4,2444
D,28,A,WL2,5,5,,41,1864
D,28,B,WL1,8,8,,2,2403
D,29,A,(WL2) x (WL2 x BH),3-14_1,3-14,1,4,2312
D,29,B,WV,11,11,,21,1942
D,30,A,WL2,,,,8,103
D,30,B,TM2,7,7,,56,1760
D,31,A,BH x WL2,1-3_8-10,1-3,8-10,4,1967
D,31,B,(WV x WL2) x (WL2 x BH),2_2,2,2,10,2569
D,32,A,BH x WL2,19-A_8-A,19-A,8-A,5,1968
D,32,B,TM2,8,8,,61,2633
D,33,A,TM2 x WL2,,,,4,1280
D,33,B,(WL2 x BH) x (WL2 x TM2),,,,11,246
D,34,A,WL1,8,8,,7,2406
D,34,B,(WL2 x BH) x (WL2 x TM2),2_1,2,1,11,2224
D,35,A,buffer,,,,,buffer
D,35,B,WL2,,,,95,190
D,36,A,(TM2 x WL2) x (TM2),3_1-3,3,1-3,2,2130
D,36,B,(TM2) x (TM2 x WL2),2-1_2,2-1,2,5,2507
D,37,A,LV1,22,22,,13,1675
D,37,B,(WV x WL2) x (WL2 x CC),3_1,3,1,12,2364
D,38,A,TM2,9,9,,70,1774
D,38,B,SQ3 x WL2,6-C_8-A,6-C,8-A,3,2418
D,39,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,5,2515
D,39,B,WL2,2,2,,15,1838
D,40,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,23,2261
D,40,B,BH x WL2,19-A_8-A,19-A,8-A,5,2414
D,41,A,(WL2 x TM2) x (WL2 x BH),1_2,1,2,2,2455
D,41,B,WV,11,11,,19,1940
D,42,A,(WL2) x (WL2 x TM2),3-14_2,3-14,2,9,2324
D,42,B,LV1 x WL2,14_8,14,8,8,1985
D,43,A,(WL2) x (DPR x WL2),,,,1,895
D,43,B,WL1,8,8,,2,1804
D,44,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,16,2207
D,44,B,(SQ3 x WL2) x (WL2),5_13-B,5,13-B,30,2596
D,45,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,3,2241
D,45,B,BH,,,,12,398
D,46,A,(YO11 x WL2) x (WL2),4_13-B,4,13-B,2,2583
D,46,B,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,8,2238
D,47,A,buffer,,,,,buffer
D,47,B,WV x WL2,,,,1,1403
D,48,A,WL2 x DPR,,,,3,2490
D,48,B,SQ3,7,7,,19,1702
D,49,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,13,2525
D,49,B,TM2,1,1,,3,1707
D,50,A,buffer,,,,,buffer
D,50,B,WV,12,12,,12,2625
D,51,A,buffer,,,,,buffer
D,51,B,LV1 x WL2,14_8,14,8,11,1988
D,52,A,TM2,,,,52,522
D,52,B,(WL2) x (WL2 x TM2),3-14_2,3-14,2,13,2463
D,53,A,WL2,2,2,,16,2395
D,53,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,21,2212
D,54,A,WL2,6,6,,53,1876
D,54,B,WL2,3,3,,26,1849
D,55,A,(WV x WL2) x (WL2 x CC),3_1,3,1,15,2573
D,55,B,WL1 x WL2,2-2_10-1,2-2,10-1,6,2425
D,56,A,(WL2 x CC) x (WL2 x BH),1_1,1,1,3,2544
D,56,B,YO11 x WL2,,,,1,2492
D,57,A,buffer,,,,,buffer
D,57,B,(WV x WL2) x (WL2 x DPR),,,,3,1327
D,58,A,buffer,,,,,buffer
D,58,B,(TM2 x WL2) x (TM2),3_1-3,3,1-3,3,2131
D,1,C,buffer,,,,,buffer
D,1,D,buffer,,,,,buffer
D,2,C,buffer,,,,,buffer
D,2,D,buffer,,,,,buffer
D,3,C,buffer,,,,,buffer
D,3,D,buffer,,,,,buffer
D,4,C,WL2,8,8,,78,1901
D,4,D,(WL2 x BH) x (WL2 x TM2),2_3,2,3,8,2221
D,5,C,(WL2 x TM2) x (WL2 x BH),1_2,1,2,3,2292
D,5,D,(SQ3 x WL2) x (WL2),5_13-B,5,13-B,30,2121
D,6,C,NA,,,,,NA
D,6,D,NA,,,,,NA
D,7,C,TM2,6,6,,47,1751
D,7,D,NA,,,,,NA
D,8,C,(WL2 x BH) x (WL2 x TM2),2_3,2,3,2,2538
D,8,D,WL2,4,4,,33,1856
D,9,C,DPR,20,20,,18,2622
D,9,D,TM2,9,9,,64,1768
D,10,C,BH x WL2,1-3_8-10,1-3,8-10,4,2412
D,10,D,buffer,,,,,buffer
D,11,C,BH,1,1,,15,1614
D,11,D,buffer,,,,,buffer
D,12,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,19,2257
D,12,D,(WV) x (WV x WL2),3_22,3,22,1,2578
D,13,C,WL2,,,,49,144
D,13,D,(WV x WL2) x (WV),20_7-3,20,7-3,4,2576
D,14,C,DPR x WL2,,,,3,1976
D,14,D,buffer,,,,,buffer
D,15,C,(WV) x (WV x WL2),3_22,3,22,2,2376
D,15,D,LV1,11,11,,5,1667
D,16,C,(WV x WL2) x (WL2 x BH),2_2,2,2,1,2343
D,16,D,(WL2 x BH) x (WL2 x TM2),2_3,2,3,4,2539
D,17,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,46,2644
D,17,D,TM2,,,,87,1791
D,18,C,(WL2 x BH) x (WL2 x CC),1_2,1,2,2,2510
