pop.id,mf,rep,block,bed,rack,col,row,unique.ID,notes
SQ3,4,2,A2,A,2,D,26,333,
CC,5,1,A2,A,2,A,27,251,
WL2-9,9,12,A2,A,2,B,27,152,
DPR,7,1,A2,A,2,C,27,236,
(WL2 x DPR) x DPR,,11,A2,A,2,D,27,1057,
WL1 x WL2,,16,A2,A,2,A,28,846,
(TM2 x BH) x BH,,19,A2,A,2,B,28,1389,
TM2 x CC,,20,A2,A,2,C,28,638,
TM2-2,2,3,A2,A,2,D,28,17,
TM2 x WL2,,21,A2,A,3,A,29,729,
TM2 x CC,,1,A2,A,3,B,29,619,
WL2 x YO11,,25,A2,A,3,C,29,980,
TM2-6,6,5,A2,A,3,D,29,75,
TM2 x (TM2 X WL2),,14,A2,A,3,A,30,1364,
SQ3 x WL2,,26,A2,A,3,B,30,600,
WL2-3,3,4,A2,A,3,C,30,116,
DPR,3,1,A2,A,3,D,30,224,
LV1 x TM2,,2,A2,A,3,A,31,486,
WV x WL2,,5,A2,A,3,B,31,1020,
BH,2,1,A2,A,3,C,31,200,
WL2 x WV,,10,A2,A,3,D,31,949,
(TM2 x BH) x TM2,,2,A2,A,3,A,32,1213,
(LV1 x WL2) x WL2,,16,A2,A,3,B,32,1150,
(TM2 x WL2) x (TM2 x WL2),,1,A2,A,3,C,32,1264,
WV x (WV x WL2),,7,A2,A,3,D,32,1092,
(TM2 x BH) x TM2,,14,A2,A,3,A,33,1225,
LV1 x WL2,,18,A2,A,3,B,33,532,
WL2-10,10,10,A2,A,3,C,33,164,
WV x (WV x WL2),,19,A2,A,3,D,33,1104,
TM2 x WL2,,9,A2,A,3,A,34,717,
DPR x TM2,,17,A2,A,3,B,34,441,
WV x TM2,,23,A2,A,3,C,34,1008,
WV x (WV x WL2),,7,A2,A,3,D,34,2035,
DPR x TM2,,5,A2,A,3,A,35,429,
YO11,2,1,A2,A,3,B,35,304,
(LV1 x WL2) x WL2,,4,A2,A,3,C,35,1138,
TM2-1,1,3,A2,A,3,D,35,3,
LV1 x TM2,,29,A2,A,3,A,36,513,
(WL2 x DPR) x WL2,,15,A2,A,3,B,36,1080,
BH x WL2,,29,A2,A,3,C,36,393,
TM2-4,4,3,A2,A,3,D,36,45,
TM2 x WV,,5,A2,A,3,A,37,743,
LV1 x WL2,,30,A2,A,3,B,37,544,
WL2-1,1,6,A2,A,3,C,37,104,
TM2-3,3,1,A2,A,3,D,37,29,
(WV x WL2) x WV,,7,A2,A,3,A,38,1337,
BH x WL2,,5,A2,A,3,B,38,369,
(LV1 x WL2) x WL2,,5,A2,A,3,C,38,2023,
TM2 x WL1,,20,A2,A,3,D,38,698,
(TM2 x WL2) x WL2,,16,A2,A,3,A,39,1290,
LV1 x TM2,,14,A2,A,3,B,39,498,
TM2 x DPR,,19,A2,A,3,C,39,667,
DPR x TM2,,29,A2,A,3,D,39,453,
(TM2 x WL2) x WL2,,4,A2,A,3,A,40,1278,
WL1,7,1,A2,A,3,B,40,353,
WL1 x WL2,,28,A2,A,3,C,40,858,
WV x WL2,,29,A2,A,3,D,40,1044,
WV,6,3,A2,A,3,A,41,279,
WL2-11,11,8,A2,A,3,B,41,176,
WV,5,1,A2,A,3,C,41,267,
SQ3 x TM2,,29,A2,A,3,D,41,573,
(WL2 x DPR) x WL2,,3,A2,A,3,A,42,1068,
TM2 x DPR,,7,A2,A,3,B,42,655,
(TM2 x BH) x (TM2 x WL2),,6,A2,A,3,C,42,1237,
WL2-12,12,6,A2,A,3,D,42,188,
WV x TM2,,11,A2,A,3,A,43,996,
WL2 x LV1,,9,A2,A,3,B,43,899,
(TM2 x BH) x BH,,4,A2,A,3,C,43,2047,
WL2 x BH,,11,A2,A,3,D,43,790,
WL2-8,8,14,A2,A,3,A,44,140,
TM2-5,5,3,A2,A,3,B,44,59,
WV x WL2,,17,A2,A,3,C,44,1032,
(TM2 x BH) x (TM2 x WL2),,18,A2,A,3,D,44,1249,
BH,6,1,A2,A,3,A,45,212,
TM2 x (TM2 x BH),,5,A2,A,3,B,45,1196,
(TM2 x WL2) x (YO11 x WL2),,10,A2,A,3,C,45,1304,
WL2-8,8,2,A2,A,3,D,45,128,
buffer,buffer,buffer,A2,A,3,A,46,buffer,
buffer,buffer,buffer,A2,A,3,B,46,buffer,
buffer,buffer,buffer,A2,A,3,C,46,buffer,
buffer,buffer,buffer,A2,A,3,D,46,buffer,
buffer,buffer,buffer,B1,B,1,A,1,buffer,
buffer,buffer,buffer,B1,B,1,B,1,buffer,
buffer,buffer,buffer,B1,B,1,C,1,buffer,
buffer,buffer,buffer,B1,B,1,D,1,buffer,
CC,7,3,B1,B,1,A,2,259,
WL2-8,8,6,B1,B,1,B,2,132,
(TM2 x BH) x BH,,11,B1,B,1,C,2,1381,
TM2-6,6,9,B1,B,1,D,2,79,
TM2 x CC,,5,B1,B,1,A,3,623,
TM2 x (TM2 x BH),,9,B1,B,1,B,3,1200,
WV x WL2,,1,B1,B,1,C,3,2015,
WL1,7,5,B1,B,1,D,3,357,
BH x WL2,,17,B1,B,1,A,4,381,
TM2 x (TM2 X WL2),,18,B1,B,1,B,4,1368,
DPR x TM2,,21,B1,B,1,C,4,445,
TM2 x YO11,,13,B1,B,1,D,4,767,
WV,5,5,B1,B,1,A,5,271,
WL1 x WL2,,20,B1,B,1,B,5,850,
TM2 x DPR,,3,B1,B,1,C,5,2003,
LV1,2,3,B1,B,1,D,5,284,
WL2-11,11,12,B1,B,1,A,6,180,
DPR,4,2,B1,B,1,B,6,228,
TM2-2,2,7,B1,B,1,C,6,21,
(TM2 x WL2) x (TM2 x BH),,3,B1,B,1,D,6,1254,
WL1 x WL2,,8,B1,B,1,A,7,838,
TM2 x WV,,10,B1,B,1,B,7,748,
LV1 x TM2,,20,B1,B,1,C,7,504,
TM2 x DPR,,11,B1,B,1,D,7,659,
DPR x WL2,,7,B1,B,1,A,8,461,
TM2 x WL2,,25,B1,B,1,B,8,733,
(LV1 x WL2) x WL2,,20,B1,B,1,C,8,1154,
WL2-10,10,2,B1,B,1,D,8,156,
TM2-3,3,5,B1,B,1,A,9,33,
TM2 x WL1,,7,B1,B,1,B,9,685,
DPR x (DPR x WL2),,3,B1,B,1,C,9,1128,
WL2-9,9,4,B1,B,1,D,9,144,
WL2-12,12,10,B1,B,1,A,10,192,
(TM2 x WL2) x WL2,,20,B1,B,1,B,10,1294,
WL2 x BH,,2,B1,B,1,C,10,781,
WL2 x DPR,,6,B1,B,1,D,10,866,
TM2 x DPR,,23,B1,B,1,A,11,671,
SQ3 x WL2,,3,B1,B,1,B,11,577,
WL2-1,1,10,B1,B,1,C,11,108,
(WL2 x DPR) x WL2,,7,B1,B,1,D,11,1072,
WV x (WV x WL2),,11,B1,B,1,A,12,2039,
WL2 x WL1,,12,B1,B,1,B,12,921,
(WL2 x DPR) x DPR,,3,B1,B,1,C,12,1048,
WL2-3,3,8,B1,B,1,D,12,120,
WV x (WV x WL2),,11,B1,B,1,A,13,1096,
BH,3,2,B1,B,1,B,13,204,
(WL2 x DPR) x DPR,,15,B1,B,1,C,13,1061,
WV x WL2,,21,B1,B,1,D,13,1036,
(TM2 x BH) x (TM2 x WL2),,10,B1,B,1,A,14,1241,
TM2 x WL2,,13,B1,B,1,B,14,721,
WV x TM2,,3,B1,B,1,C,14,988,
WL2 x WV,,14,B1,B,1,D,14,953,
(TM2 x WL2) x WL2,,1,B1,B,2,A,15,2051,
SQ3 x TM2,,9,B1,B,2,B,15,553,
YO11,6,1,B1,B,2,C,15,313,
(TM2 x BH) x TM2,,18,B1,B,2,D,15,1229,
TM2-7,7,12,B1,B,2,A,16,96,
BH,7,2,B1,B,2,B,16,216,
LV1 x TM2,,6,B1,B,2,C,16,490,
TM2 x CC,,26,B1,B,2,D,16,644,
WV x TM2,,27,B1,B,2,A,17,1012,
WL2-10,10,14,B1,B,2,B,17,168,
TM2 x WL2,,1,B1,B,2,C,17,709,
DPR x WL2,,19,B1,B,2,D,17,473,
(TM2 x WL2) x WL2,,8,B1,B,2,A,18,1282,
(LV1 x WL2) x WL2,,8,B1,B,2,B,18,1142,
(WL2 x DPR) x WL2,,1,B1,B,2,C,18,2027,
LV1 x WL2,,3,B1,B,2,D,18,517,
WL1,4,1,B1,B,2,A,19,345,
TM2-4,4,7,B1,B,2,B,19,49,
(YO11 x WL2) x WL2,,6,B1,B,2,C,19,1316,
CC,1,3,B1,B,2,D,19,241,
WV x TM2,,15,B1,B,2,A,20,1000,
(WL2 x DPR) x WL2,,19,B1,B,2,B,20,1084,
LV1 x WL2,,22,B1,B,2,C,20,536,
(TM2 x BH) x TM2,,6,B1,B,2,D,20,1217,
WL2 x BH,,18,B1,B,2,A,21,797,
SQ3 x TM2,,21,B1,B,2,B,21,565,
WV x WL2,,9,B1,B,2,C,21,1024,
TM2-5,5,7,B1,B,2,D,21,63,
TM2 x BH,,5,B1,B,2,A,22,609,
TM2-1,1,7,B1,B,2,B,22,7,
(TM2 x WL2) x (TM2 x WL2),,6,B1,B,2,C,22,1269,
(WV x WL2) x WV,,16,B1,B,2,D,22,1346,
buffer,buffer,buffer,B1,B,2,A,23,buffer,
DPR x TM2,,9,B1,B,2,B,23,433,
CC x TM2,,11,B1,B,2,C,23,405,
buffer,buffer,buffer,B1,B,2,D,23,buffer,
buffer,buffer,buffer,B2,B,2,A,24,buffer,
(WV x WL2) x WV,,17,B2,B,2,B,24,1347,
buffer,buffer,buffer,B2,B,2,C,24,buffer,
TM2 x YO11,,14,B2,B,2,D,24,768,
TM2-4,4,8,B2,B,2,A,25,50,
WL2 x DPR,,8,B2,B,2,B,25,868,
(LV1 x WL2) x WL2,,9,B2,B,2,C,25,1143,
WL2-11,11,1,B2,B,2,D,25,169,
DPR x TM2,,10,B2,B,2,A,26,434,
TM2-6,6,10,B2,B,2,B,26,80,
TM2 x CC,,28,B2,B,2,C,26,646,
TM2 x WL2,,26,B2,B,2,D,26,734,
(TM2 x WL2) x (YO11 x WL2),,1,B2,B,2,A,27,1295,
WV,5,6,B2,B,2,B,27,272,
DPR x (WL2 x DPR),,2,B2,B,2,C,27,1131,
BH,3,3,B2,B,2,D,27,205,
TM2 x DPR,,2,B2,B,2,A,28,2004,
WV x (WV x WL2),,12,B2,B,2,B,28,2040,
BH,7,3,B2,B,2,C,28,217,
LV1 x WL2,,23,B2,B,2,D,28,537,
DPR x WL2,,14,B2,B,3,A,29,462,
WL2 x WV,,16,B2,B,3,B,29,955,
(TM2 x BH) x BH,,12,B2,B,3,C,29,1382,
TM2-5,5,8,B2,B,3,D,29,64,
